Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663058258000;53,5602664;9,9808022;4,64;;58,8;0;;;;;;;;;;;;;;
1663058259000;53,5602853;9,9807399;4,04;4,04;58,8;0;-0,5999999999999996;-3399;31;0;775;0;0;0;0;0;0;17,886640290203726;0;0
1663058260000;53,5603018;9,9806783;4,94;4,94;58,8;0;0,9000000000000004;5273;57;0;948;0;6278;0;0,0007031810035842293;0,0018732741935483868;268,858834056026;22,75895689704655;0;19,995781418534214
1663058261000;53,5603288;9,9806133;4,95;4,95;58,9;0;0,009999999999999787;64;58;1280,2050000000183;950;0;2352,205000000018;0;0,00026346382168458986;0,0007018676209677474;175,4412726751968;24,213407927821223;0;22,36086044212218
1663058262000;53,5603541;9,9805513;4,31;4,31;58,9;0;-0,6400000000000006;-3867;38;0;827;0;0;0;0;0;133,98557721302038;23,302237805010208;0;21,505536847683235
1663058263000;53,5603896;9,980459;4,81;4,81;58,8;0;0,5;2975;53;-1280,2050000000183;923;0;2670,794999999982;0;0,00029914818548386894;0,0007969307661290269;165,1242959182656;23,730511242820878;0;31,732298656221708
1663058264000;53,5604117;9,9804132;5,41;5,41;58,8;0;0,6000000000000005;4001;75;0;1038;0;5114;0;0,0005728046594982078;0,0015259516129032256;198,10048759490795;25,316640903384062;0;44,11582817537708
1663058265000;53,5604439;9,9803551;6,35;6,35;58,8;0;0,9399999999999995;7212;122;0;1219;0;8553;0;0,0009579973118279568;0,002552104838709677;256,8297419146767;28,759302233587526;0;63,93824788430549
1663058266000;53,5604836;9,9802761;8,56;8,56;58,8;0;2,210000000000001;21500;300;0;1643;0;23443;0;0,002625784050179211;0,006995088709677418;300;37,39106855677149;0;115,91426602515726
1663058267000;53,5605382;9,980183;7,36;7,36;58,8;0;-1,2000000000000002;-12466;191;0;1413;0;0;0;0;0;300;38,329807168091364;0;109,30686786517163
1663058268000;53,560606;9,9800427;8,46;8,46;58,8;0;1,1000000000000005;11354;290;0;1624;0;13268;0;0,001486111111111111;0,003959;300;40,58506805141731;0;130,38522470636872
1663058269000;53,5606614;9,9799647;9,03;9,03;58,8;0;0,5699999999999985;6504;353;0;1734;0;8591;0;0,0009622535842293906;0,002563443548387097;300;42,88706971216718;0;138,95631699633918
1663058270000;53,560712;9,9798657;9,19;9,19;58,8;0;0,16000000000000014;1902;372;0;1764;0;4038;0;0,0004522849462365591;0,0012048870967741934;300;44,563180969004165;0;137,8796189948527
1663058271000;53,5607628;9,979761;9,23;9,23;58,8;0;0,040000000000000924;480;377;0;1772;0;2629;0;0,00029446684587813615;0,0007844596774193547;300;45,707894612782994;0;134,44788340636387
