Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663059969000;53,5602706;9,9810962;2,35;;58,6;0;;;;;;;;;;;;;;
1663059970000;53,5601646;9,9810488;4,08;4,08;58,7;0;1,73;7258;32;1280,2050000000183;783;0;9353,205000000018;0;0,001047626008064518;0,002790875685483876;300;18,24258460732081;0;26,968151217498722
1663059971000;53,5600573;9,9810083;7,24;7,24;58,7;0;3,16;23340;182;0;1390;0;24912;0;0,002790322580645161;0,007433419354838709;300;39,425085761270324;0;101,5333966092712
1663059972000;53,5599685;9,9809699;5,7;5,7;58,9;0;-1,54;-13003;88;2560,4099999999453;1094;0;0;0;0;0;300;36,96711830614247;0;96,40720982219636
1663059973000;53,5599894;9,98097;2,74;2,74;58,9;0;-2,96;-16302;9;0;526;0;0;0;0;0;300;36,225552093194366;0;95,40062572341759
1663059974000;53,5600083;9,9809718;0,8;0,8;58,9;0;-1,9400000000000002;-4482;0;0;153;0;0;0;0;0;300;34,84328812507575;0;94,34918557171697
1663059975000;53,5600379;9,9809811;1,36;1,36;58,9;0;0,56;789;1;0;261;0;1051;0;0,0001177195340501792;0,00031360483870967743;300;32,80723818800676;0;95,89262177104338
1663059976000;53,5601123;9,980918849999998;3,5199999999999996;3,5199999999999996;58,849999999999994;2;2,1599999999999993;6877;20;-640,1025000000546;675;0;6931,8974999999455;0;0,0007764222110214991;0,0020683887701612737;300;30,146656215424578;0;113,70425193595875
1663059977000;53,5601867;9,9808566;5,68;5,68;58,8;0;2,16;12966;87;-640,1024999999636;1090;0;13502,897500000036;0;0,0015124213149641616;0,004029090383064527;300;31,097455788687505;0;145,7219044200573
1663059978000;53,560258;9,9808129;5,83;5,83;58,8;0;0,15000000000000036;1126;95;0;1119;0;2340;0;0,0002620967741935484;0,0006982258064516129;300;32,06789610480072;0;145,35904604046274
1663059979000;53,5603319;9,9807476;6,16;6,16;58,8;0;0,33000000000000007;2581;112;0;1182;0;3875;0;0,0004340277777777777;0,00115625;300;33,427671349857285;0;148,4033848387909
1663059980000;53,5604015;9,9806756;7,3;7,3;58,8;0;1,1399999999999997;10012;186;0;1401;0;11599;0;0,0012991711469534047;0,0034609919354838706;300;37,04395651437587;0;167,78261919453408
1663059981000;53,5604618;9,9805834;8,48;8,48;58,8;0;1,1800000000000006;12149;292;0;1628;0;14069;0;0,0015758288530465948;0,004198008064516129;300;43,05753715461594;0;189,50049221677574
1663059982000;53,5605457;9,9804316;8,39;8,39;58,8;0;-0,08999999999999986;-991;283;0;1611;0;903;0;0,00010114247311827955;0,00026944354838709676;300;47,30794229448529;0;182,09604131619918
1663059983000;53,560593;9,9803389;9,2;9,2;58,8;0;0,8099999999999987;9296;373;0;1766;0;11435;0;0,0012808019713261647;0,003412056451612903;300;50,20356619055758;0;193,38739211935066
1663059984000;53,560655;9,9802341;9;9;58,8;0;-0,1999999999999993;-2376;349;0;1728;0;0;0;0;0;300;51,05267447531475;0;182,2934803724478
1663059985000;53,5607069;9,9801198;9,42;9,42;58,9;0;0,41999999999999993;5048;400;1280,2050000000183;1808;0;8536,205000000018;0;0,0009561161514336937;0,00254709342741936;300;52,06715143660286;0;184,3236689010282
1663059986000;53,5607542;9,9800089;9,11;9,11;58,9;0;-0,3100000000000005;-3749;362;0;1749;0;0;0;0;0;300;52,327973312117074;0;174,719972589701
1663059987000;53,5608034;9,9798937;9,94;9,94;58,9;0;0,8300000000000001;10317;471;0;1908;0;12696;0;0,0014220430107526882;0,0037883225806451615;300;53,32271466664811;0;184,66883437669804
1663059988000;53,560858;9,979764;10,58;10,58;58,9;0;0,6400000000000006;8569;567;0;2031;0;11167;0;0,0012507840501792113;0,003332088709677419;300;54,726221639120766;0;190,52454577834382
1663059989000;53,5609096;9,9796313;10,49;10,49;58,8;0;-0,08999999999999986;-1238;553;-1280,2050000000183;2014;0;48,794999999981655;0;0,000005465389784944181;0,0000145597983870913;300;55,601451478929896;0;182,291823444219
