Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663061726000;53,5605094;9,9804429;10,91;;58,9;0;;;;;;;;;;;;;;
1663061728000;53,5606751;9,9799124;12,27;24,54;58,8;0;0,6799999999999997;20569;1771;-1280,2050000000183;4712;0;25771,79499999998;0;0,0028866257840501766;0,007689971088709671;300;54,51332936699445;0;60,92736414145489
1663061729000;53,5608038;9,979654;12,01;12,01;58,8;0;-0,2599999999999998;-4120;830;0;2306;0;0;0;0;0;219,60603575670598;54,544069740967416;0;55,11076102119039
1663061730000;53,5609058;9,9794573;11,66;11,66;58,8;0;-0,34999999999999964;-5406;760;0;2239;0;0;0;0;0;165,52087429927195;54,630763373220844;0;50,486356094937044
1663061731000;53,5609936;9,9792744;11,62;11,62;58,8;0;-0,040000000000000924;-608;752;0;2231;0;2375;0;0,00026601702508960575;0,0007086693548387097;132,86131997433102;54,68174254718029;0;50,6722430431653
1663061732000;53,5610807;9,9791059;10,68;10,68;58,8;0;-0,9399999999999995;-13678;584;0;2050;0;0;0;0;0;111,67362136783412;55,04052298405115;0;47,42694611942448
1663061733000;53,5611558;9,9789492;10,52;10,52;58,8;0;-0,16000000000000014;-2214;558;0;2020;0;364;0;0,00004077060931899641;0,00010861290322580645;96,42846324008528;55,34671884363821;0;45,164763991966126
1663061734000;53,5612178;9,9788025;10,3;10,3;58,9;0;-0,21999999999999886;-2989;524;1280,2050000000183;1977;0;792,2050000000183;0;0,00008873263888889093;0,00023638375000000546;84,96176074032994;55,65739749791353;0;42,69539435622961
1663061735000;53,5612698;9,9786576;10,11;10,11;58,9;0;-0,19000000000000128;-2531;495;0;1941;0;0;0;0;0;76,01554916363851;55,969792043889065;0;40,528264340840344
1663061736000;53,5613236;9,9785255;9,53;9,53;58,9;0;-0,5800000000000001;-7433;415;0;1830;0;0;0;0;0;68,96983679255244;56,495019223223075;0;38,71571101139934
1663061737000;53,5613812;9,9784001;9,38;9,38;58,9;0;-0,14999999999999858;-1851;395;0;1801;0;345;0;0,000038642473118279566;0,00010294354838709677;63,32311126632617;56,80233843196694;0;37,540079190419846
1663061738000;53,5614377;9,9782788;9,56;9,56;58,9;0;0,17999999999999972;2224;419;0;1835;0;4478;0;0,0005015681003584229;0,0013361774193548389;65,25897546398102;56,39201152234943;0;41,42187239923785
1663061739000;53,5615081;9,9781178;9,62;9,62;58,9;0;0,05999999999999872;750;426;0;1847;0;3023;0;0,00033859767025089607;0,0009020241935483871;62,95771081653777;56,0239985309608;0;43,3045042872799
1663061740000;53,5615491;9,9780261;8,31;8,31;58,9;0;-1,3099999999999987;-15327;275;0;1595;0;0;0;0;0;59,76808624343764;55,709257376190976;0;42,07576599760988
1663061741000;53,5615849;9,9779418;8,39;8,39;58,9;0;0,08000000000000007;871;283;0;1611;0;2765;0;0,00030969982078853044;0,0008250403225806451;58,94190897097864;55,38271470074567;0;43,879640384084354
1663061742000;53,5616371;9,97785;8,28;8,28;58,8;0;-0,11000000000000121;-1197;272;-1280,2050000000183;1590;0;0;0;0;0;56,231359283995566;55,06966993808084;0;42,680683359643766
1663061743000;53,561691;9,9777519;8,06;8,06;58,8;0;-0,21999999999999886;-2346;251;0;1547;0;0;0;0;0;53,846273958032484;54,78089890766231;0;41,59174088722245
1663061744000;53,5617308;9,9776604;7,72;7,72;58,8;0;-0,34000000000000075;-3501;220;0;1482;0;0;0;0;0;51,781399660871884;54,5316711731482;0;40,628980376737225
1663061745000;53,5617718;9,9775696;7,58;7,58;58,8;0;-0,13999999999999968;-1398;208;0;1455;0;265;0;0,000029681899641577058;0,00007907258064516128;49,913562721073426;54,295095108050994;0;39,99271122161385
1663061746000;53,5618154;9,9774769;7,21;7,21;58,8;0;-0,3700000000000001;-3571;179;0;1384;0;0;0;0;0;48,29348458326573;54,1072827043248;0;39,20104316665057
1663061747000;53,5618568;9,977394;6,43;6,43;58,8;0;-0,7800000000000002;-6943;127;0;1234;0;0;0;0;0;47,01226264452304;54,062765906299134;0;38,59213533683553
1663061748000;53,5618916;9,9773187;6,01;6,01;58,8;0;-0,41999999999999993;-3410;104;0;1154;0;0;0;0;0;45,91343167332453;54,094516629206666;0;38,0742510903553
1663061749000;53,5619199;9,9772505;5,71;5,71;58,9;0;-0,2999999999999998;-2295;89;1280,2050000000183;1096;0;170,20500000001834;0;0,000019064180107528933;0,00005078697580645708;44,94075119811254;54,17437745461928;0;37,615278365205505
1663061750000;53,5619513;9,9771849;5,63;5,63;58,9;0;-0,08000000000000007;-592;85;0;1081;0;574;0;0,0000642921146953405;0,00017127419354838713;44,02182363011451;54,241290850297744;0;37,69526900598223
1663061751000;53,5619883;9,9771197;5,6;5,6;58,9;0;-0,03000000000000025;-220;84;0;1075;0;939;0;0,00010517473118279569;0,0002801854838709677;43,14033767289246;54,28426884434795;0;38,097469567500895
1663061752000;53,5620185;9,9770541;5,97;5,97;58,9;0;0,3700000000000001;2793;102;0;1146;0;4041;0;0,00045262096774193546;0,001205782258064516;47,02523999600734;54,20679687551592;0;41,17688685969121
1663061753000;53,5620529;9,9769788;5,94;5,94;58,8;0;-0,02999999999999936;-234;100;-1280,2050000000183;1140;0;0;0;0;0;46,02299509392838;54,11849491938888;0;40,61988007686449
1663061754000;53,5620817;9,9769154;5,27;5,27;58,9;0;-0,6700000000000008;-4901;70;1280,2050000000183;1012;0;0;0;0;0;45,222833761885866;54,17848601253946;0;40,19246805982786
1663061755000;53,5621101;9,976853;5,15;5,15;58,9;0;-0,11999999999999922;-816;65;0;988;0;237;0;0,00002654569892473118;0,00007071774193548387;44,47304230692973;54,2462071533334;0;39,990777934970176
1663061756000;53,5621354;9,97679;5,01;5,01;58,8;0;-0,14000000000000057;-929;60;-1280,2050000000183;962;0;0;0;0;0;43,77455482061074;54,328298437121546;0;39,607067205643666
1663061757000;53,5621496;9,9767319;4,85;4,85;58,8;0;-0,16000000000000014;-1030;54;0;931;0;0;0;0;0;43,12800688054861;54,43136995449641;0;39,250170991191695
1663061758000;53,5621675;9,9766736;4,64;4,64;58,8;0;-0,20999999999999996;-1301;47;0;891;0;0;0;0;0;42,54018906134775;54,5708634721748;0;38,92678046609779
1663061759000;53,5621893;9,9766195;4,45;4,45;58,8;0;-0,1899999999999995;-1127;42;0;854;0;0;0;0;0;42,002603112200774;54,74222115977517;0;38,63131002445819
1663061760000;53,5622124;9,9765618;4,65;4,65;58,8;0;0,20000000000000018;1187;48;0;892;0;2127;0;0,00023823924731182792;0,0006346693548387097;43,242496291579506;54,83280527938885;0;40,056174985618135
1663061761000;53,5622324;9,9765081;3,74;3,74;58,8;0;-0,9100000000000001;-4982;25;0;718;0;0;0;0;0;42,84463840247022;55,17981658483504;0;39,85470271306511
1663061762000;53,56224;9,9764688;2,75;2,75;58,8;0;-0,9900000000000002;-4193;9;0;528;0;0;0;0;0;42,64438424963045;55,85276053197084;0;39,80045341148656
1663061763000;53,5622443;9,9764462;1,45;1,45;58,7;0;-1,3;-3563;1;-1280,2049999999272;278;0;0;0;0;0;42,69313457991379;57,02752521517439;0;39,93351684988553
1663061764000;53,5622482;9,976432;1,31;1,31;58,7;0;-0,1399999999999999;-253;1;0;251;0;0;0;0;0;42,75778246606438;58,24746029476513;0;40,072813632132004
1663061765000;53,5622546;9,9764113;1,21;1,21;58,7;0;-0,10000000000000009;-165;0;0;232;0;67;0;0,000007504480286738351;0,000019991935483870966;42,830822209152906;59,4985199025146;0;40,26876916722086
1663061766000;53,5622525;9,9764212;0,18;0,18;58,7;0;-1,03;-935;0;0;34;372;372;1;0,000041666666666666665;0,000111;43,093292951445264;61,22006214052358;6,0793003897341285;40,86044129143987
1663061767000;53,5622509;9,9764296;0;0;58,6;4;-0,18;-22;0;0;0;372;372;1;0,000041666666666666665;0,000111;43,38011933169265;63,04132428484007;11,689987848857907;41,468673867722785
1663061810000;53,5622581;9,9764225;0;0;54,3;4;0;0;0;0;0;15996;15996;43;0,0017916666666666665;0,0047729999999999995;46,263125400357154;87,37960911223155;113,03064133489438;55,80372413071337
1663061811000;53,5622638;9,9764159;0,74;0,74;55,7;4;0,74;357;0;0;142;0;499;0;0,000055891577060931893;0,00014889516129032256;46,72219113171583;87,15170397415619;111,70086908389563;56,05242378034659
1663061812000;53,5622705;9,9764055;1,43;1,43;57,3;4;0,69;976;1;0;274;0;1251;0;0,00014012096774193545;0,00037328225806451605;48,06568953192601;86,72295279382392;110,4020217689666;56,85000774093535
1663061813000;53,5622816;9,9763781;2,56;2,56;56,8;0;1,1300000000000001;2941;8;-6401,025000000001;491;0;0;0;0;0;52,34846169670628;86,01037995331909;109,13303301300148;56,44505428275338
1663061814000;53,5622962;9,9763321;3,86;3,86;59;4;1,2999999999999998;5445;27;0;741;0;6213;0;0,0006959005376344086;0,0018538790322580646;60,259353643614624;85,08167035149128;107,892884910581;61,05824331364557
1663061815000;53,5623319;9,976205;5,08;5,08;60,1;0;1,2200000000000002;7116;62;14082,25500000002;975;0;22235,25500000002;0;0,0024905079525089626;0,006634713185483877;70,27663587572886;84,10254638292172;106,68060530484414;67,00332216787139
1663061816000;53,5623474;9,9761332;4,69;4,69;60,2;0;-0,3899999999999997;-2487;49;1280,2050000000183;900;0;0;0;0;0;69,17573931185844;83,16267765977511;105,49526524590142;66,2381192642307
1663061817000;53,5623497;9,97606;4,93;4,93;59,5;0;0,23999999999999932;1506;57;-8961,435000000038;946;0;0;0;0;0;70,32149422168227;82,24693344373746;104,33597661682559;65,45653720746057
1663061818000;53,5623343;9,9759859;5,12;5,12;59,9;0;0,1900000000000004;1245;64;5120,8199999999815;983;0;7412,8199999999815;0;0,0008302889784946215;0,002211889838709672;71,00137651175635;81,36140880168817;103,20188991446877;66,48649557237735
1663061819000;53,5623065;9,9759209;4,98;4,98;60,7;0;-0,13999999999999968;-923;59;10241,640000000056;956;0;10333,640000000056;0;0,0011574417562724075;0,0030834248387096937;69,87680792506166;80,50322191374974;102,09219217345297;65,78580849635337
1663061820000;53,5622224;9,9758332;6,47;6,47;59,6;0;1,4899999999999993;11131;129;-14082,25500000002;1242;0;0;0;0;0;84,35035021149831;79,80502127662021;101,00610502267156;64,83390722743523
1663061821000;53,5621669;9,9758181;6,37;6,37;59,7;0;-0,09999999999999964;-838;123;1280,2050000000183;1223;0;1788,2050000000183;0;0,00020029177867383717;0,0005335772983871023;82,70850051753251;79,11719331227556;99,94288286453818;64,30840390511433
1663061822000;53,5621073;9,9758122;6,97;6,97;60,4;0;0,5999999999999996;5222;162;8961,434999999945;1338;0;15683,434999999945;0;0,0017566571460573414;0,004679734637096758;88,13761514597516;78,57753634991023;98,90181116803257;68,38635558357362
1663061823000;53,5620419;9,9757976;7,75;7,75;60,9;0;0,7800000000000002;7491;223;6401,025000000001;1488;0;15603,025000000001;0;0,001747650649641577;0,004655741330645161;96,16982535792546;78,28846296302466;97,88220486733123;74,06489270933993
1663061824000;53,5619748;9,9757832;6,84;6,84;63,7;4;-0,9100000000000001;-8664;153;0;1313;0;0;0;0;0;94,28403438995285;77,75869336401394;96,8834068584809;73,00299407210034
1663061825000;53,56188;9,9757621;6,22;6,22;56,9;4;-0,6200000000000001;-5284;115;0;1194;0;0;0;0;0;92,63225798756012;77,13920644083217;95,90478658718311;72,05588957464967
1663061826000;53,5618311;9,9757495;7,11;7,11;56,9;0;0,8900000000000006;7741;172;0;1365;0;9278;0;0,0010392025089605733;0,0027684354838709672;100,59981817817507;76,71239473967728;94,94573872131127;77,58273428702067
1663061827000;53,5617801;9,9757294;6,2;6,2;56,9;0;-0,9100000000000001;-7904;114;0;1190;0;0;0;0;0;98,90654039154634;76,13024154468533;94,0056819022884;76,60541635230366
1663061828000;53,5617318;9,9757089;5,93;5,93;56,9;0;-0,27000000000000046;-2138;100;0;1138;0;0;0;0;0;97,3394895618951;75,53462002122262;93,08405756991301;75,68950840202058
1663061829000;53,5616887;9,9756872;5,35;5,35;56,9;0;-0,5800000000000001;-4269;73;0;1027;0;0;0;0;0;95,96771633755525;74,91218099808883;92,18032885564202;74,87341941055303
1663061830000;53,5616502;9,9756653;4,98;4,98;56,9;0;-0,3699999999999992;-2494;59;0;956;0;0;0;0;0;94,72510894991314;74,29411603138574;91,29397953972239;74,12283317131919
1663061831000;53,5616132;9,9756471;4,54;4,54;56,9;0;-0,4400000000000004;-2734;44;0;871;0;0;0;0;0;93,62000296344878;73,69088906502972;90,42451306791548;73,44369919897146
1663061832000;53,5615738;9,9756319;5,02;5,02;56,9;0;0,47999999999999954;2994;60;0;963;0;4017;0;0,00044993279569892467;0,0011986209677419353;95,90543605161838;73,10410699633378;89,57145162387857;75,38216026152874
