Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663063275000;53,560221;9,9810186;1,57;;59;0;;;;;;;;;;;;;;
1663063276000;53,5602191;9,9810263;1,12;1,12;59;0;-0,44999999999999996;-790;0;0;215;0;0;0;0;0;0;1,374681500590111;0;0
1663063277000;53,560215;9,9810329;0,91;0,91;59;0;-0,21000000000000008;-279;0;0;174;0;0;0;0;0;0;1,1652573657345862;0;0
1663063278000;53,5602032;9,9810328;1,03;1,03;59;0;0,12;151;0;0;197;0;348;0;0,000038978494623655915;0,00010383870967741936;22,72706483959433;1,164372060396446;0;1,1592297424280338
1663063279000;53,560213;9,9810308;0;0;59;4;-1,03;-693;0;0;0;372;372;1;0,000041666666666666665;0,000111;22,72706483959433;1,164372060396446;52,74763262295071;2,3844024377356576
1663063284000;53,5602087;9,9810242;0;0;58,9;4;0;0;0;0;0;1860;1860;5;0,00020833333333333332;0,000555;22,72706483959433;1,164372060396446;140,6603536612019;8,301745654428576
1663063285000;53,5602019;9,9810174;0,71;0,71;58,8;0;0,71;328;0;-1280,2050000000183;136;0;0;0;0;0;58,39141609663584;1,0491269917149544;126,59431829508172;8,206077558454059
1663063286000;53,560197;9,9810061;1,24;1,24;58,8;0;0,53;674;0;0;238;0;912;0;0,0001021505376344086;0,0002721290322580645;105,5639121341291;1,2065178648405372;115,08574390461972;10,932169866296274
1663063287000;53,5601964;9,9809918;1,43;1,43;58,8;0;0,18999999999999995;331;1;0;274;0;606;0;0,0000678763440860215;0,0001808225806451613;105,65558425283126;1,4362200179804996;105,49526524590141;12,612050139533324
1663063288000;53,5601963;9,9809662;1,8;1,8;58,7;0;0,3700000000000001;779;2;-1280,2049999999272;345;0;0;0;0;0;125,90250254986066;1,8981157574477687;97,38024484237053;12,36533089767515
1663063289000;53,5602031;9,9809406;3,31;3,31;58,7;0;1,51;5034;17;0;635;0;5686;0;0,0006368727598566308;0,0016966290322580646;289,3924587176015;4,795021798864929;90,4245130679155;28,620441015354565
1663063290000;53,5602229;9,9809021;3,69;3,69;58,8;0;0,3799999999999999;1735;24;1280,2049999999272;708;0;3747,204999999927;0;0,0004197138216845796;0,00111811762096772;271,4639185592371;7,246957643886873;84,39621219672114;34,67721976584039
1663063291000;53,5602415;9,9808506;5,18;5,18;58,8;0;1,4899999999999998;8623;66;0;994;0;9683;0;0,0010845654121863797;0,0028892822580645155;300;12,867927043382881;79,12144893442607;59,49981577712069
