Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663069881000;53,560307;9,9810801;3,37;;58,7;0;;;;;;;;;;;;;;
1663069882000;53,560316;9,9810816;2,67;2,67;58,7;0;-0,7000000000000002;-2759;9;0;512;0;0;0;0;0;0;7,812473652389064;0;0
1663069883000;53,5603179;9,9810819;1,86;1,86;58,7;0;-0,8099999999999998;-2395;3;0;357;0;0;0;0;0;0;6,1614092799488045;0;0
1663069884000;53,5603214;9,9810818;1,31;1,31;58,7;0;-0,55;-1138;1;0;251;0;0;0;0;0;0;5,201171106038412;0;0
1663069885000;53,5603248;9,9810815;0,86;0,86;58,8;0;-0,45000000000000007;-638;0;1280,2049999999272;165;0;807,2049999999272;0;0,00009041274641576244;0,00024085955645159114;0;4,637594804599512;0;0
1663069886000;53,5603248;9,9810812;0,51;0,51;58,8;0;-0,35;-313;0;0;97;0;0;0;0;0;0;4,329716475299074;0;0
1663069887000;53,5603243;9,9810811;0,27;0,27;58,9;4;-0,24;-123;0;0;51;372;372;1;0,000041666666666666665;0,000111;0;4,176313655619002;35,165088415300474;1,1732104071362044
1663069888000;53,5603314;9,9810484;2,03;2,03;58,9;0;1,7599999999999998;2641;4;0;389;0;3034;0;0,0003398297491039426;0,0009053064516129031;127,15744365682819;4,2488322288726375;30,141504355971833;10,506774944235303
1663069889000;53,560351;9,9810137;1,55;1,55;58,9;0;-0,47999999999999976;-1122;1;0;297;0;0;0;0;0;109,33700625465063;4,022363762703092;26,373816311475355;10,321371682762443
1663069890000;53,5603741;9,9809894;1,14;1,14;58,9;0;-0,41000000000000014;-720;0;0;218;0;0;0;0;0;99,1202696046259;3,7795859857647764;23,443392276866984;10,175121709834006
1663069891000;53,5603745;9,9809506;0,77;0,77;58,9;0;-0,3699999999999999;-462;0;0;147;0;0;0;0;0;93,235720059864;3,59377470429071;21,099053049180284;10,061410554160682
1663069892000;53,560347;9,9809287;0,59;0,59;58,9;0;-0,18000000000000005;-160;0;0;113;0;0;0;0;0;89,17900362658084;3,454006654102474;19,18095731743662;9,96389374735326
1663069893000;53,5603354;9,980909;2,07;2,07;58,8;0;1,48;2568;4;-1280,2050000000183;397;0;1688,7949999999817;0;0,0001891571460573456;0,0005039146370967687;152,61136121209603;3,618462717294544;17,582544207650237;18,265044396406395
1663069894000;53,5603351;9,9808684;2,4;2,4;58,9;0;0,33000000000000007;962;6;1280,2050000000183;460;0;2708,205000000018;0;0,000303338373655916;0,0008080934274193603;156,7373934976643;3,977045119373643;16,230040807061755;21,851605897013854
1663069895000;53,560344;9,9808228;3,02;3,02;58,8;0;0,6200000000000001;2192;13;-1280,2050000000183;579;0;1503,7949999999817;0;0,00016843581989247104;0,0004487130241935429;181,939873858457;4,840419195156069;15,070752177985916;28,866007426868723
1663069896000;53,5603611;9,9807467;5,14;5,14;58,9;0;2,1199999999999997;11287;65;1280,2050000000183;987;0;13619,205000000018;0;0,0015254485887096793;0,004063795040322586;300;9,57269195221885;14,06603536612019;60,0146566226892
1663069897000;53,5603885;9,9806866;6,29;6,29;58,8;0;1,1500000000000004;8576;119;-1280,2050000000183;1207;0;8621,794999999982;0;0,0009657028449820767;0,0025726323790322527;300;16,11543794916347;13,186908155737678;82,01673078161758
1663069898000;53,5604248;9,9806062;8,2;8,2;58,8;0;1,9099999999999993;18058;264;0;1574;0;19896;0;0,002228494623655914;0,005936709677419355;300;27,720423319778607;12,411207675988404;124,48913355587084
1663069899000;53,5604707;9,9805075;8,32;8,32;58,8;0;0,120000000000001;1293;276;0;1597;0;3166;0;0,00035461469534050176;0,0009446935483870967;300;35,8943227161087;11,721696138433492;125,00670397287439
1663069900000;53,5605134;9,9804074;7,89;7,89;58,8;0;-0,4300000000000006;-4549;235;0;1515;0;0;0;0;0;300;40,37771036327404;11,104764762726466;119,02907700875667
1663069901000;53,5605582;9,9803061;9,04;9,04;58,9;0;1,1499999999999995;12703;354;1280,2050000000183;1735;0;16072,205000000018;0;0,0018002021729390698;0,0047957385887096825;300;47,12102986436007;10,549526524590142;142,788386679925
