Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663071876000;53,5602061;9,981178;2,68;;62,3;0;;;;;;;;;;;;;;
1663071878000;53,5602607;9,9810627;4,17;8,34;58;4;0,7449999999999999;6659;69;0;1601;0;8329;0;0,0009329077060931898;0,002485266129032258;300;19,056281206641724;0;26,67189924734339
1663071879000;53,5602774;9,980994;4,69;4,69;57,9;0;0,5200000000000005;3006;49;-1280,2050000000183;900;0;2674,794999999982;0;0,000299596214157704;0,0007981243145161235;300;20,873601747999565;0;37,64064642022868
1663071880000;53,5603129;9,9809226;6,52;6,52;58;0;1,8299999999999992;13385;132;1280,2050000000183;1252;0;16049,205000000018;0;0,0017976260080645179;0,004788875685483876;300;29,448993130785095;0;78,36850538558595
1663071881000;53,5603852;9,9808057;7,7;7,7;58,8;0;1,1800000000000006;10948;218;10241,639999999963;1478;0;22885,639999999963;0;0,002563355734767021;0,006828779677419344;300;37,67444485358422;0;107,28218309962625
1663071882000;53,560413;9,9807215;8,21;8,21;58,8;0;0,5100000000000007;5294;265;0;1576;0;7135;0;0,000799171146953405;0,0021289919354838707;300;40,944730887682155;0;116,81764640998612
1663071883000;53,5604474;9,9806168;9,37;9,37;58,8;0;1,1599999999999984;13306;394;0;1799;0;15499;0;0,0017359991039426522;0,004624701612903226;300;45,11068349662992;0;142,63057545819368
1663071884000;53,5604923;9,9805042;8,32;8,32;58,7;0;-1,049999999999999;-12120;276;-1280,2049999999272;1597;0;0;0;0;0;300;45,2998578849161;0;133,5054534761039
1663071885000;53,5605277;9,9804026;7,71;7,71;58,7;0;-0,6100000000000003;-6381;219;0;1480;0;0;0;0;0;300;44,78503909044237;0;126,38598671132566
1663071886000;53,5605878;9,9802459;7,48;7,48;58,8;0;-0,22999999999999954;-2280;200;1280,2049999999272;1436;0;636,2049999999272;0;0,00007125952060931083;0,00018983536290320406;300;44,24348393095256;0;120,29765644045831
1663071887000;53,5606109;9,9801825;6,54;6,54;58,8;0;-0,9400000000000004;-8600;134;0;1255;0;0;0;0;0;300;43,546116376138656;0;115,8001873594392
1663071888000;53,5606385;9,980115;7,16;7,16;58,8;0;0,6200000000000001;5542;176;0;1374;0;7092;0;0,0007943548387096773;0,0021161612903225803;300;43,09060574155957;0;123,64165712073066
1663071889000;53,5606758;9,9800292;8,42;8,42;58,9;0;1,2599999999999998;12809;286;1280,2050000000183;1616;0;15991,205000000018;0;0,0017911295922939086;0,004771569233870973;300;43,392968167357736;0;142,39434932970428
