Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663058255000;53,5602402;9,9807715;3,09;;59,2;0;;;;;;;;;;;;;;
1663058256000;53,5602683;9,9807263;3,94;3,94;59,2;0;0,8500000000000001;5957;38;0;1156;0;7151;0;0,0008009632616487454;0,002133766129032258;300;17,01212192487296;0;15,63654042839892
1663058258000;53,5603143;9,9806082;3,77;7,54;59,2;0;-0,08499999999999996;-1307;68;0;2212;0;973;0;0,00010898297491039426;0,0002903306451612903;155,49418920845747;16,068715563842957;0;16,447718933306344
1663058259000;53,560336;9,9805512;3,97;3,97;59,2;0;0,20000000000000018;1543;39;0;1164;0;2746;0;0,0003075716845878136;0,0008193709677419355;145,46993441355704;16,377954282991467;0;21,18846847039868
1663058260000;53,560356;9,9804981;4,21;4,21;59,2;0;0,23999999999999977;1957;47;0;1235;0;3239;0;0,0003627912186379928;0,0009664758064516129;144,14960444440493;17,03015490708252;0;26,46937372053739
1663058261000;53,5603631;9,9803999;5,08;5,08;59,3;0;0,8700000000000001;8058;83;1956,1139999998888;1490;0;11587,113999999889;0;0,0012978398297490916;0,0034574453064515802;212,14321636262997;19,34033538081522;0;42,66274872847292
1663058262000;53,5603894;9,9803422;5,23;5,23;59,3;0;0,15000000000000036;1541;91;0;1534;0;3166;0;0,00035461469534050176;0,0009446935483870967;190,53761325762665;21,196290949202922;0;46,35101023870561
1663058263000;53,5604201;9,9802776;5,56;5,56;59,3;0;0,3299999999999992;3550;109;0;1631;0;5290;0;0,0005925179211469533;0,0015784677419354836;190,65880766867602;23,180793488667955;0;53,14714801739815
1663058264000;53,5604586;9,9802043;6,45;6,45;59,3;0;0,8900000000000006;10656;170;0;1892;0;12718;0;0,0014245071684587812;0,0037948870967741935;237,4279255773307;26,624103025870543;0;70,77685054873231
1663058265000;53,5605012;9,9801203;7,2;7,2;59,3;0;0,75;10206;237;0;2112;0;12555;0;0,0014062499999999997;0,0037462499999999996;264,8534679366335;31,043467431127652;0;86,24805841445686
