Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663059969000;53,5603122;9,9809649;1,55;;59;0;;;;;;;;;;;;;;
1663059970000;53,5603224;9,9809484;1,25;1,25;59;0;-0,30000000000000004;-838;1;0;366;0;0;0;0;0;0;1,712324493520447;0;0
1663059971000;53,5603296;9,9809355;1;1;59;0;-0,25;-561;0;0;293;0;0;0;0;0;0;1,438352574557175;0;0
1663059972000;53,5603385;9,9809184;1,24;1,24;59;0;0,24;535;1;0;363;0;899;0;0,00010069444444444443;0,00026825;46,01671734750701;1,5259997240227385;0;1,9432851522994805
1663059973000;53,5603456;9,9809011;1,74;1,74;59;0;0,5;1485;3;0;510;0;1998;0;0,00022379032258064516;0,0005961774193548388;115,81435562608837;2,122160920561689;0;6,125190283005569
1663059974000;53,5603569;9,9808724;2,64;2,64;59;0;0,9000000000000001;3930;11;0;774;0;4715;0;0,0005281137992831541;0,0014068951612903225;226,59603215881012;3,9724211312565942;0;15,635812173875212
1663059975000;53,5603713;9,9808321;3,61;3,61;59;0;0,9699999999999998;6044;29;0;1059;0;7132;0;0,0007988351254480286;0,002128096774193548;300;7,214281837155073;0;29,22454959139297
1663059976000;53,5603976;9,9807677;4,41;4,41;59;0;0,8000000000000003;6396;54;0;1293;0;7743;0;0,0008672715053763439;0,0023104112903225803;300;11,127123379494321;0;42,806813279898144
1663059977000;53,5604331;9,9806934;6,03;6,03;59;0;1,62;16862;139;0;1769;0;18770;0;0,002102374551971326;0,005600725806451613;300;19,027837022058;0;74,67873723319651
1663059978000;53,560468;9,98061;6,13;6,13;59;0;0,09999999999999964;1212;146;0;1798;0;3156;0;0,0003534946236559139;0,0009417096774193547;300;23,868947064990152;0;76,57334296200814
1663059979000;53,5605057;9,9805193;7,18;7,18;59;0;1,0499999999999998;13933;235;0;2106;0;16274;0;0,0018228046594982077;0,004855951612903225;300;30,518383737872007;0;99,21652086932566
1663059980000;53,5605628;9,9803658;8,08;8,08;59,2;0;0,9000000000000004;13692;335;3912,2280000000555;2370;0;20309,228000000054;0;0,002274779121863805;0,006060011580645177;300;38,17268236584195;0;119,1685587850378
1663059981000;53,5605917;9,9802918;8,15;8,15;59,2;0;0,07000000000000028;1132;344;0;2391;0;3867;0;0,00043313172043010745;0,0011538629032258063;300;43,655468447956295;0;118,64347492059606
1663059982000;53,5606288;9,9801982;8,7;8,7;59,2;0;0,5499999999999989;9239;419;0;2552;0;12210;0;0,0013676075268817204;0,003643306451612903;300;49,33769495585298;0;129,40269327202367
1663059983000;53,5606704;9,980095;8,71;8,71;59,2;0;0,010000000000001563;173;420;0;2555;0;3148;0;0,00035259856630824365;0,0009393225806451611;300;53,6124922936646;0;127,12932537185797
1663059984000;53,5607202;9,979991;9,02;9,02;59,2;0;0,3099999999999987;5479;466;0;2646;0;8591;0;0,0009622535842293906;0,002563443548387097;300;57,72926329978466;0;131,71055730205575
1663059985000;53,5607709;9,9798766;9,76;9,76;59,2;0;0,7400000000000002;13855;591;0;2863;0;17309;0;0,0019387320788530464;0,005164782258064516;300;59,65072301018169;0;144,42428859656283
