Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663061696000;53,560211;9,9809692;2,1;;59;0;;;;;;;;;;;;;;
1663061697000;53,5602105;9,9809786;1,44;1,44;59;0;-0,6600000000000001;-2330;1;0;422;0;0;0;0;0;0;2,272432684648959;0;0
1663061698000;53,560211;9,980978;0,86;0,86;59;0;-0,58;-1330;0;0;252;0;0;0;0;0;0;1,7258039119334396;0;0
1663061699000;53,5602124;9,9809693;0,21;0,21;59;0;-0,65;-694;0;0;61;744;744;1;0,00008333333333333333;0,000222;0;1,5854573757820667;70,33017683060095;1,6216970022041324
1663061700000;53,5602159;9,9809681;0;0;59;4;-0,21;-44;0;0;0;744;744;1;0,00008333333333333333;0,000222;0;1,5854573757820667;105,49526524590142;3,2186550587892313
1663061704000;53,5602336;9,9809623;0;0;59,1;4;0;0;0;0;0;2976;2976;4;0,0003333333333333333;0,000888;0;1,5854573757820667;158,24289786885214;9,370084388743596
1663061705000;53,5602385;9,9809575;0,48;0,48;59,1;0;0,48;229;0;0;140;0;369;0;0,00004133064516129032;0,00011010483870967742;23,019351678375457;1,3714697067093413;140,6603536612019;10,030799693052028
1663061706000;53,5602446;9,9809525;0,8;0,8;59,1;0;0,32000000000000006;408;0;0;234;0;642;0;0,00007190860215053763;0,00019156451612903225;50,44551562470143;1,2300234599202402;126,59431829508172;11,208186263256755
1663061707000;53,5602542;9,9809427;1,62;1,62;59,1;0;0,8200000000000001;1978;2;0;475;0;2455;0;0,00027497759856630826;0,0007325403225806452;144,91540852261951;1,7229179393423344;115,08574390461972;15,91224082057337
1663061708000;53,5602713;9,9809236;2,86;2,86;59,1;0;1,2399999999999998;5538;14;0;839;0;6391;0;0,0007158378136200717;0,0019069919354838712;295,4665751773034;4,227062316250136;105,49526524590141;27,91102720874968
1663061709000;53,5602953;9,9808955;3,3;3,3;59,1;0;0,43999999999999995;2702;22;0;968;0;3692;0;0,0004135304659498207;0,0011016451612903225;281,17475298858363;6,425299979474586;97,38024484237053;34,016256958349196
