Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663069877000;53,5601151;9,9809234;1,71;;59,1;0;;;;;;;;;;;;;;
1663069878000;53,5601364;9,9809192;1,26;1,26;59,1;0;-0,44999999999999996;-1333;1;0;369;0;0;0;0;0;0;1,7398312741843593;0;0
1663069879000;53,5601622;9,9809167;1,26;1,26;59,1;0;0;0;1;0;369;0;370;0;0,000041442652329749104;0,00011040322580645161;0;1,7398312741843593;0;0,8126466278455473
1663069880000;53,5601811;9,9809015;0,52;0,52;59,1;0;-0,74;-1314;0;0;152;0;0;0;0;0;0;1,4929162451549132;0;0,8028491618430703
1663069881000;53,5602052;9,9808988;0,5;0,5;59,1;0;-0,020000000000000018;-21;0;0;146;0;125;0;0,000014000896057347669;0,00003729838709677419;0;1,3207489674442292;0;1,0614461564347204
1663069882000;53,5602396;9,9808938;0,71;0,71;59,1;0;0,20999999999999996;253;0;0;208;0;461;0;0,0000516353046594982;0,0001375564516129032;17,860661368270893;1,1923956702834886;0;2,022633510068814
1663069883000;53,5602652;9,9808814;1,49;1,49;59,1;0;0,78;1710;2;0;437;0;2149;0;0,0002407034050179211;0,0006412338709677419;102,53170518268999;1,5144289442779382;0;6,441676871744356
1663069884000;53,5602929;9,9808581;2,1;2,1;59,1;0;0,6100000000000001;2183;5;0;616;0;2804;0;0,0003140681003584229;0,0008366774193548386;158,51087722123975;2,403295651304948;0;11,967023616250778
1663069885000;53,5603173;9,980831;2,57;2,57;59,1;0;0,46999999999999975;2188;10;0;754;0;2952;0;0,0003306451612903226;0,0008808387096774194;182,3642869615368;3,5969342149426367;0;17,46457919887233
1663069886000;53,5603524;9,9807885;3,4;3,4;59,1;0;0,8300000000000001;4940;25;0;997;0;5962;0;0,0006677867383512543;0,0017789838709677418;244,65310267709808;5,8303297892311745;0;28,276510815505674
1663069887000;53,5603984;9,9807228;4,88;4,88;59,1;0;1,48;12217;73;0;1431;0;13721;0;0,0015368503584229389;0,0040941693548387096;300;11,122238781825622;0;52,19596014586568
1663069888000;53,5604477;9,9806582;5,36;5,36;59,1;0;0,4800000000000004;4900;97;0;1572;0;6569;0;0,0007357750896057348;0,0019601048387096775;300;15,660337003711142;0;61,45206248191199
1663069889000;53,5605118;9,980556;4,84;4,84;59,3;0;-0,5200000000000005;-5289;72;3912,227999999917;1420;0;115,22799999991685;0;0,000012906362007159145;0,00003438254838707196;294,48836776977794;17,337582015308374;0;59,125267131931466
