Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663071850000;53,5601383;9,9811226;4,68;;59,1;0;;;;;;;;;;;;;;
1663071852000;53,5600902;9,9810496;1,7;3,4;53,6;4;-1,4899999999999998;-18956;6;0;997;0;0;0;0;0;0;3,167115383215418;0;0
1663071853000;53,5600692;9,981048;2;2;53,6;0;0,30000000000000004;1106;5;0;586;0;1697;0;0,00019007616487455196;0,0005063629032258064;61,40603000045037;3,617646983288352;0;3,6098036358928773
1663071854000;53,5600813;9,9810476;0,23;0,23;53,6;0;-1,77;-3936;0;0;67;744;744;1;0,00008333333333333333;0,000222;58,897435524410646;3,4722251110318307;52,74763262295071;5,144092561068516
1663071855000;53,5600927;9,9810462;0,68;0,68;53,6;0;0,45000000000000007;408;0;0;199;0;607;0;0,00006798835125448028;0,00018112096774193547;71,9371365289895;3,1526481028214017;42,19810609836057;6,340474453933719
1663071856000;53,5601007;9,9810505;0,79;0,79;53,6;0;0,10999999999999999;161;0;0;231;0;392;0;0,00004390681003584229;0,00011696774193548387;70,73638056572624;2,8779612524814047;35,165088415300474;7,058620543924987
1663071857000;53,5601117;9,9810565;0,74;0,74;59,1;4;-0,050000000000000044;-77;0;0;217;0;140;0;0,000015681003584229387;0,00004177419354838709;64,05973240008372;2,6629598061451354;30,141504355971833;7,250286773765067
1663071858000;53,560118;9,9810575;0;0;59,1;4;-0,74;-546;0;0;0;744;744;1;0,00008333333333333333;0,000222;64,05973240008372;2,6629598061451354;52,74763262295071;8,694956296966083
1663071864000;53,5601352;9,9810706;0;0;59;4;0;0;0;0;0;4463;4463;6;0,0004998879928315411;0,0013317016129032256;64,05973240008372;2,6629598061451354;120,54576103655133;16,948363223020273
1663071865000;53,5601408;9,9810699;0,44;0,44;59;0;0,44;193;0;0;129;0;322;0;0,0000360663082437276;0,00009608064516129032;67,64043774667704;2,532724272458663;112,50937696744792;17,393434027627332
1663071866000;53,5601506;9,9810519;1,46;1,46;59;0;1,02;1932;1;0;428;0;2361;0;0,00026444892473118277;0,0007044919354838709;116,94101785179276;2,5032349552296145;105,47754090698243;21,52173514359751
1663071867000;53,5601682;9,9810315;1,8;1,8;59,1;0;0,3400000000000001;1105;3;1956,1140000000278;528;0;3592,1140000000278;0;0,00040234251792115;0,0010718404677419436;127,39342327715333;2,666613985226312;99,27297967715992;24,11248635174568
1663071868000;53,5601854;9,9810163;2,17;2,17;59,1;0;0,3699999999999999;1464;6;0;636;0;2106;0;0,00023588709677419353;0,0006284032258064516;139,23614843191592;3,061331048447922;93,75781413953993;27,381280263436775
1663071869000;53,5601968;9,9809853;2,28;2,28;59,1;0;0,10999999999999988;488;7;0;668;0;1163;0;0,0001302643369175627;0,00034702419354838704;128,52763774385625;3,4371291532766532;88,82319234272204;28,82829820302159
1663071870000;53,5602054;9,9809459;2,77;2,77;59,1;0;0,4900000000000002;2467;13;0;812;0;3292;0;0,0003687275985663082;0,000982290322580645;148,95359036030987;4,171195010607724;84,38203272558594;33,768626902620476
1663071871000;53,5602155;9,9808948;3,37;3,37;59,1;0;0,6000000000000001;3672;24;0;988;0;4684;0;0,0005246415770609318;0,0013976451612903223;176,00082162503745;5,431281370658387;80,36384069103421;40,644563476446855
1663071872000;53,5602321;9,9808319;5,33;5,33;59,1;0;1,96;17000;96;0;1563;0;18659;0;0,002089941756272401;0,005567604838709677;300;10,419990955046718;76,71093884144176;68,97746893703365
1663071873000;53,5602838;9,9807329;6,31;6,31;59,2;0;0,9799999999999995;11372;159;1956,1140000000278;1851;0;15338,114000000027;0;0,0017179787186379957;0,004576695306451621;300;16,62609781133706;73,37568063094429;86,51957115405486
1663071874000;53,5603193;9,9806642;6,31;6,31;59,2;0;0;0;159;0;1851;0;2010;0;0,00022513440860215053;0,000599758064516129;300;20,87808619142022;70,31836060465494;85,88031930878954
1663071875000;53,560358;9,9805917;6,7;6,7;59,2;0;0,39000000000000057;5058;191;0;1965;0;7214;0;0,0008080197132616487;0,0021525645161290323;297,39866354543705;24,93365026944686;67,50562618046875;92,44090803624698
1663071876000;53,5603999;9,9805054;7,65;7,65;59,2;0;0,9500000000000002;13591;284;0;2244;0;16119;0;0,0018054435483870967;0,004809701612903226;300;30,443173275897166;64,9092559427584;109,96057863179085
1663071877000;53,5604423;9,9804158;7,26;7,26;59,2;0;-0,39000000000000057;-5798;243;0;2130;0;0;0;0;0;291,53467314815595;33,65814888413402;62,505209426359954;105,42668980410022
1663071878000;53,5604843;9,9803288;7,01;7,01;59,2;0;-0,25;-3557;219;0;2056;0;0;0;0;0;261,7871031515246;35,71868900761787;60,27288051827566;101,37369022150492
1663071879000;53,560528;9,9802443;6,68;6,68;59,2;0;-0,33000000000000007;-4505;189;0;1960;0;0;0;0;0;238,58813991124626;36,88688694852241;58,1945053279903;97,77258728177296
1663071880000;53,5605669;9,9801635;6,44;6,44;59,2;0;-0,23999999999999932;-3140;169;0;1889;0;0;0;0;0;219,80901963468278;37,560916157284495;56,25468848372396;94,52118963666064
1663071881000;53,5606063;9,9800807;6,76;6,76;59,2;0;0,3199999999999994;4211;196;0;1983;0;6390;0;0,0007157258064516128;0,0019066935483870967;217,27950004906322;38,516269494061966;54,440021113281254;98,4908725300761
1663071882000;53,5606468;9,9799956;6,86;6,86;59,2;0;0,10000000000000053;1357;205;0;2012;0;3574;0;0,00040031362007168455;0,0010664354838709677;205,92509587053794;39,454686886883486;52,73877045349121;99,11806793270398
1663071883000;53,5606888;9,9799115;7,01;7,01;59,2;0;0,14999999999999947;2074;219;0;2056;0;4349;0;0,0004871191756272401;0,0012976854838709678;197,901446116255;40,43980523811888;51,1406258942945;100,45333983590652
1663071884000;53,5607288;9,9798205;7,31;7,31;59,2;0;0,2999999999999998;4283;248;0;2144;0;6675;0;0,0007476478494623656;0,0019917338709677422;196,4135931958007;41,64660513265218;49,63648983857996;103,93786352370964
1663071885000;53,5607692;9,9797271;7,45;7,45;59,2;0;0,14000000000000057;2060;263;0;2185;0;4508;0;0,0005049283154121864;0,0013451290322580645;189,19593782240187;42,86557415784677;48,21830441462053;105,02259936113163
