Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663146654292;53,5601759;9,9811507;4,01;;58,9;0;;;;;;;;;;;;;;
1663146656000;53,5601987;9,9810605;4,18;7,13944;58,8;0;0,0995316159250585;908;59;-1280,2050000000183;1370;0;1056,7949999999817;0;0,00011836861559139579;0,0003153339919354784;58,25731658010596;19,147787827575453;0;7,572384908205872
1663146657000;53,5602317;9,980963;6,04;6,04;58,9;0;1,8600000000000003;12403;105;1280,2050000000183;1159;0;14947,205000000018;0;0,001674194108422941;0,004460053104838715;300;28,694852495518248;0;49,05974321155291
1663146658000;53,5602843;9,9808623;6,8;6,8;58,9;0;0,7599999999999998;6367;150;0;1305;0;7822;0;0,0008761200716845877;0,002333983870967742;300;35,011103477325584;0;68,54030366744219
1663146659000;53,5603283;9,980763;6,35;6,35;58,9;0;-0,4500000000000002;-3862;122;0;1219;0;0;0;0;0;300;35,2065455093119;0;64,5535602824609
1663146660000;53,5603715;9,9806481;9,55;9,55;58,9;0;3,200000000000001;33199;417;0;1833;0;35449;0;0,00397054211469534;0,010577524193548385;300;43,68045542793436;0;145,44336232053683
1663146661000;53,5604281;9,9805215;9,65;9,65;58,9;0;0,09999999999999964;1252;430;0;1853;0;3535;0;0,0003959453405017921;0,0010547983870967741;300;47,17904050516673;0;141,04720205856046
1663146662000;53,5604843;9,9804024;9,89;9,89;58,9;0;0,2400000000000002;3059;463;0;1899;0;5421;0;0,0006071908602150537;0,0016175564516129031;300;49,241467749515905;0;141,07943382539656
1663146663000;53,5605394;9,980267;11,15;11,15;58,9;0;1,2599999999999998;17298;664;0;2141;0;20103;0;0,0022516801075268813;0,005998475806451613;300;52,62534824665002;0;167,16525658162217
1663146664000;53,5606057;9,9801271;11,66;11,66;58,8;0;0,5099999999999998;7590;760;-1280,2050000000183;2239;0;9308,794999999982;0;0,0010426517697132594;0,002777624314516123;300;55,37384610427908;0;171,82662163912633
1663146665000;53,560674;9,9799806;12,25;12,25;58,8;0;0,5899999999999999;9204;881;0;2352;0;12437;0;0,0013930331541218636;0,003711040322580645;300;57,908228720385125;0;177,85234546730842
1663146666000;53,5607493;9,9798215;12,93;12,93;58,9;0;0,6799999999999997;11172;1036;1280,2050000000183;2482;0;15970,205000000018;0;0,0017887774417562744;0,004765303104838715;300;60,464974639179346;0;185,27192082091003
1663146667000;53,5608282;9,9796689;12,8;12,8;58,8;0;-0,129999999999999;-2183;1005;-1280,2050000000183;2457;0;0;0;0;0;300;61,92739134766312;0;171,78117219793754
1663146668000;53,5609033;9,9795165;12,94;12,94;58,8;0;0,1399999999999988;2351;1039;0;2484;0;5874;0;0,0006579301075268816;0,0017527258064516129;300;63,04525817959071;0;167,41517020480805
1663146669000;53,5609766;9,9793587;13;13;58,8;0;0,0600000000000005;1015;1053;0;2496;0;4564;0;0,0005112007168458781;0,0013618387096774192;288,13862031513844;63,86627784896935;0;161,98821262303002
1663146670000;53,561047;9,9791972;12,64;12,64;58,8;0;-0,35999999999999943;-6023;968;0;2427;0;0;0;0;0;262,8658450082198;64,16569117400624;0;152,50023443328348
1663146671000;53,5611178;9,9790396;12,32;12,32;58,8;0;-0,3200000000000003;-5212;896;0;2365;0;0;0;0;0;242,24256626363263;64,17159283013183;0;144,35292059316492
1663146672000;53,561176;9,9789077;11,41;11,41;58,8;0;-0,9100000000000001;-14091;712;0;2191;0;0;0;0;0;226,13729877336618;63,7551890063849;0;137,7915460072896
1663146673000;53,5612363;9,9787743;11,47;11,47;58,8;0;0,0600000000000005;895;723;0;2202;0;3820;0;0,0004278673835125448;0,0011398387096774195;213,7359572340337;63,40736439434671;0;135,44739733726644
1663146674000;53,5613001;9,9786366;10,87;10,87;58,7;0;-0,6000000000000014;-8747;615;-1280,2049999999272;2087;0;0;0;0;0;201,91709736082834;62,93792269530761;0;130,20050970834322
1663146675000;53,5613601;9,9785067;10,57;10,57;58,7;0;-0,29999999999999893;-4197;566;0;2029;0;0;0;0;0;191,70225363007938;62,46214117197645;0;125,54691423811842
1663146676000;53,5614181;9,9783706;11,45;11,45;58,7;0;0,879999999999999;12643;719;0;2198;0;15560;0;0,0017428315412186379;0,004642903225806451;203,00106525400108;62,22819081054053;0;134,0566247960823
1663146677000;53,5614826;9,978232;12,11;12,11;58,7;0;0,6600000000000001;10146;851;0;2325;0;13322;0;0,0014921594982078852;0,003975112903225806;208,32594207809282;62,223048752916156;0;139,62745741367425
1663146678000;53,561548;9,9780871;11,78;11,78;58,7;0;-0,33000000000000007;-5145;784;0;2262;0;0;0;0;0;197,97223875824875;62,10748246485901;0;134,40690433534044
1663146679000;53,5616166;9,9779452;11,41;11,41;58,8;0;-0,3699999999999992;-5599;712;1280,2049999999272;2191;0;0;0;0;0;188,96168087605213;61,90649559688115;0;129,7854304353837
1663146680000;53,561676;9,9778087;10,84;10,84;58,8;0;-0,5700000000000003;-8276;610;0;2081;0;0;0;0;0;181,25366347942006;61,61690627608066;0;125,78697786374605
1663146681000;53,561733;9,9776809;10,46;10,46;58,8;0;-0,379999999999999;-5282;548;0;2008;0;0;0;0;0;174,47091727881755;61,30213526443736;0;122,22765250343446
1663146682000;53,5617881;9,9775599;10,17;10,17;58,7;0;-0,2900000000000009;-3904;504;-1280,2049999999272;1952;0;0;0;0;0;168,40592267214097;60,983926425571035;0;119,00734558241372
1663146683000;53,5618413;9,9774462;9,55;9,55;58,7;0;-0,6199999999999992;-7978;417;0;1833;0;0;0;0;0;163,2057215365594;60,65790713751693;0;116,2422368067418
1663146684000;53,5618939;9,9773625;8,89;8,89;58,8;0;-0,6600000000000001;-7942;336;1280,2049999999272;1707;0;0;0;0;0;158,77573119730897;60,35472596389494;0;113,89585514614345
