Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663155917000;53,5604913;9,980605;10,02;;59,1;0;;;;;;;;;;;;;;
1663155918000;53,5605472;9,9804707;7,86;7,86;59;0;-2,1599999999999993;-25201;232;-1280,2050000000183;1509;0;0;0;0;0;0;41,585606790531756;0;0
1663155919000;53,5605896;9,9803695;8,72;8,72;59;0;0,8600000000000003;9303;318;0;1674;0;11295;0;0,0012651209677419354;0,003370282258064516;228,17605737654011;43,84681365702156;0;30,332137200631166
1663155920000;53,5606318;9,9802653;8,5;8,5;59;0;-0,22000000000000064;-2472;294;0;1632;0;0;0;0;0;150,45618740386863;44,05556539120024;0;28,09188653160646
1663155921000;53,5606703;9,9801434;10,35;10,35;59;0;1,8499999999999996;22754;531;0;1987;0;25272;0;0,0028306451612903224;0,0075408387096774195;300;47,5450669032775;0;82,19586978175585
1663155922000;53,5607216;9,980014;10,14;10,14;58,9;0;-0,20999999999999908;-2808;500;-1280,2050000000183;1947;0;0;0;0;0;277,6391457984754;48,775633378214195;0;75,472602960844
1663155923000;53,5607751;9,9798743;10,92;10,92;58,9;0;0,7799999999999994;10718;624;0;2096;0;13438;0;0,0015051523297491037;0,0040097258064516125;295,6741318622209;50,54026522556949;0;94,58730533156394
1663155924000;53,5608271;9,9797323;10,83;10,83;59;0;-0,08999999999999986;-1278;609;1280,2050000000183;2079;0;2690,205000000018;0;0,00030132224462365795;0,0008027224596774248;246,34875588398822;51,48630285173484;0;89,9579318041791
1663155925000;53,560879;9,9795983;11,32;11,32;59;0;0,4900000000000002;7081;695;0;2173;0;9949;0;0,0011143593189964155;0,002968653225806451;243,97946804664815;52,617373475579335;0;99,42312829218082
1663155926000;53,5609382;9,9794624;11,42;11,42;59;0;0,09999999999999964;1483;714;0;2192;0;4389;0;0,0004915994623655914;0,0013096209677419355;218,04071071986857;53,485040743560596;0;99,15061013586126
1663155927000;53,5610003;9,9793163;11,51;11,51;59;0;0,08999999999999986;1346;731;0;2210;0;4287;0;0,00048017473118279567;0,0012791854838709678;197,3759010356043;54,181603984990836;0;98,72528305401048
1663155928000;53,5610652;9,9791644;12,18;12,18;59;0;0,6699999999999999;10356;866;0;2338;0;13560;0;0,0015188172043010752;0,004046129032258064;209,55724856138437;55,24157852310601;0;110,02809836902033
1663155929000;53,5611307;9,9790164;12,12;12,12;59;0;-0,0600000000000005;-952;853;0;2327;0;2228;0;0,00024955197132616483;0,0006648064516129031;188,42337772231528;55,99112153729021;0;106,01070893847013
1663155930000;53,5611933;9,9788693;11,88;11,88;59;0;-0,23999999999999844;-3759;804;0;2281;0;0;0;0;0;171,5484540753898;56,42011906273531;0;100,0608260774301
1663155931000;53,5612519;9,9787323;11,21;11,21;59;0;-0,6699999999999999;-10095;675;0;2152;0;0;0;0;0;158,40301902630156;56,44637099275326;0;95,19856241754249
1663155932000;53,561313;9,9786024;10,95;10,95;59;0;-0,26000000000000156;-3760;629;0;2102;0;0;0;0;0;147,45301908986417;56,376239379451874;0;90,94816557708792
1663155933000;53,5613727;9,9784699;10,63;10,63;59,1;0;-0,3199999999999985;-4506;576;1280,2050000000183;2041;0;0;0;0;0;138,2710313492276;56,22652347354216;0;87,24143650056895
1663155934000;53,5614252;9,9783415;10,15;10,15;59,1;0;-0,4800000000000004;-6509;501;0;1949;0;0;0;0;0;130,63615731076354;55,99888786140097;0;84,06780314422589
1663155935000;53,5614751;9,9782207;9,59;9,59;59,1;0;-0,5600000000000005;-7213;423;0;1841;0;0;0;0;0;124,29517386508672;55,72788156527969;0;81,37972974228416
1663155936000;53,5615257;9,9781078;9,43;9,43;59,1;0;-0,16000000000000014;-1986;402;0;1810;0;226;0;0,000025313620071684587;0,00006743548387096774;118,66805103904157;55,46583303104013;0;79,13051276630009
1663155937000;53,5615719;9,9780003;8,44;8,44;59,1;0;-0,9900000000000002;-11544;288;0;1620;0;0;0;0;0;114,25875057829751;55,22095122553142;0;77,21736217137934
1663155938000;53,5616187;9,9779049;8,5;8,5;59,1;0;0,0600000000000005;663;294;0;1632;0;2589;0;0,0002899865591397849;0,0007725241935483871;111,27570779059856;54,976771370427;0;77,6266490021322
1663155939000;53,561667;9,977802;8,22;8,22;59,1;0;-0,27999999999999936;-3055;266;0;1578;0;0;0;0;0;107,55904444396953;54,75263147148605;0;75,90094586575708
1663155940000;53,5617098;9,9776995;7,97;7,97;59;0;-0,2500000000000009;-2641;242;-1280,2050000000183;1530;0;0;0;0;0;104,22779894533294;54,54841089947855;0;74,33231165125304
1663155941000;53,5617566;9,9775967;8,15;8,15;59;0;0,1800000000000006;1893;259;0;1565;0;3717;0;0,0004163306451612903;0,0011091048387096773;103,99033330362433;54,33145764579318;0;75,80650037987164
1663155942000;53,5617993;9,977515;6,44;6,44;59;0;-1,71;-16280;128;0;1236;0;0;0;0;0;101,79052045168426;54,341734288723956;0;74,81317432737212
1663155943000;53,5618329;9,9774394;6,8;6,8;59;0;0,35999999999999943;3110;150;0;1305;0;4565;0;0,0005113127240143369;0,0013621370967741935;104,19566664575525;54,26238387221163;0;77,35241320828968
1663155944000;53,561871;9,9773517;7,56;7,56;59;0;0,7599999999999998;7121;207;0;1451;0;8779;0;0,0009833109318996415;0,002619540322580645;111,99429892758144;54,07252421432076;0;82,84006385980163
1663155945000;53,5619099;9,9772504;7,84;7,84;59;0;0,28000000000000025;2813;231;0;1505;0;4549;0;0,0005095206093189964;0,0013573629032258064;113,03435182598494;53,86157337553787;0;84,76672086435731
1663155946000;53,5619535;9,977154;7,71;7,71;59;0;-0,1299999999999999;-1320;219;0;1480;0;379;0;0,00004245071684587814;0,00011308870967741937;110,1476637244013;53,66213981437984;0;83,5145304935438
1663155947000;53,561995;9,9770711;7,33;7,33;58,9;0;-0,3799999999999999;-3730;188;-1280,2050000000183;1407;0;0;0;0;0;107,59296556752295;53,49457805193085;0;82,14901362900228
1663155948000;53,5620339;9,9769949;6,77;6,77;59;0;-0,5600000000000005;-5153;148;1280,2050000000183;1300;0;0;0;0;0;105,4194403966221;53,38732228932772;0;81,00120752904864
1663155949000;53,5620719;9,9769225;6,66;6,66;59;0;-0,10999999999999943;-964;141;0;1278;0;455;0;0,000050963261648745516;0,00013576612903225805;103,37722501033974;53,28737679822936;0;80,24055395702999
1663155950000;53,5621102;9,9768439;6,74;6,74;59;0;0,08000000000000007;699;146;0;1294;0;2139;0;0,00023958333333333332;0,00063825;102,27365706238444;53,170354429566125;0;80,66701902074594
1663155951000;53,5621452;9,9767662;5,98;5,98;59;0;-0,7599999999999998;-6308;102;0;1148;0;0;0;0;0;100,64879825137898;53,157595107091495;0;79,80016990634667
1663155952000;53,5621772;9,9767005;5,47;5,47;59;0;-0,5100000000000007;-3811;78;0;1050;0;0;0;0;0;99,27968860245223;53,224957581912236;0;79,08978977210785
1663155953000;53,5622052;9,9766357;5,4;5,4;59;0;-0,0699999999999994;-497;75;0;1036;0;614;0;0,00006877240143369176;0,00018320967741935486;97,96752456106105;53,28998440527612;0;78,82691553630677
1663155954000;53,5622278;9,9765641;5,08;5,08;59;0;-0,3200000000000003;-2189;62;0;975;0;0;0;0;0;96,80705458648552;53,404260514474636;0;78,22591450388462
1663155955000;53,5622487;9,9764946;4,9;4,9;59,1;0;-0,17999999999999972;-1173;56;1280,2050000000183;940;0;1103,2050000000183;0;0,00012356686827957194;0,0003291821370967797;95,73414407604642;53,5400049767553;0;77,67248273252973
1663155956000;53,5622752;9,9764219;4,86;4,86;59;0;-0,040000000000000036;-255;55;-1280,2050000000183;933;0;0;0;0;0;94,69164737390615;53,667580209639354;0;77,12655213315578
1663155957000;53,5622942;9,9763563;4,13;4,13;59,1;0;-0,7300000000000004;-4283;33;1280,2050000000183;793;0;0;0;0;0;93,92753346489927;53,94722966390898;0;76,76870357865883
1663155958000;53,5623129;9,9763039;2,87;2,87;59,1;0;-1,2599999999999998;-5756;11;0;551;0;0;0;0;0;93,61321736044968;54,55095055694203;0;76,72545693364783
1663155959000;53,562322;9,9762763;1,56;1,56;59;0;-1,31;-3787;1;-1280,2050000000183;299;0;0;0;0;0;93,74816738291082;55,54927289307518;0;76,99748919471776
1663155960000;53,5623277;9,9762731;0,49;0,49;59;0;-1,07;-1432;0;0;94;0;0;0;0;0;94,23992038542266;56,90641830330999;0;77,51820069312558
1663155961000;53,5623289;9,9762846;0,45;0,45;59;0;-0,03999999999999998;-25;0;0;86;0;61;0;0,000006832437275985662;0,000018201612903225806;94,72390884124529;58,2800564049618;0;78,06720384423512
1663155962000;53,5623325;9,9763044;0;0;59;4;-0,45;-133;0;0;0;372;372;1;0,000041666666666666665;0,000111;95,34670248626784;59,82437233878869;5,73056027985571;78,9213539577655
1663156000000;53,5623497;9,976349;0;0;59,5;4;0;0;0;0;0;14136;14136;38;0,0015833333333333333;0,004218;104,98191265694798;94,94348164008855;99,14012878530495;95,79413252728202
1663156001000;53,5623496;9,976349;0,01;0,01;59,5;0;0,01;0;0;0;1;372;373;1;0,000041778673835125446;0,0001112983870967742;104,97896517711102;94,9407379291866;100,47168118657277;95,94333664215677
1663156002000;53,5623494;9,9763374;0,68;0,68;59,5;0;0,67;301;0;0;130;0;431;0;0,000048275089605734766;0,00012860483870967744;105,17139170218314;94,755530500604;99,28966140790723;96,0109997417276
1663156003000;53,5623512;9,9763123;2,32;2,32;59,5;0;1,6399999999999997;3210;5;0;445;0;3660;0;0,00040994623655913974;0,0010920967741935483;108,68320695952866;94,16491539275422;98,13513046130365;98,15849614125388
1663156004000;53,5623608;9,9762415;3,92;3,92;59,5;0;1,6;6514;28;0;752;0;7294;0;0,0008169802867383512;0,0021764354838709676;115,92624439865347;93,30613744998092;97,00714045600131;102,6337562717393
