Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663157191681;53,5603971;9,9805544;3,88;;59,7;0;;;;;;;;;;;;;;
1663157193000;53,5604212;9,9805111;4,88;6,436719999999999;59,8;0;0,7581501137225171;5715;73;1280,2049999999272;1236;0;8304,204999999927;0;0,0009301304883512462;0,00247786762096772;300;26,09790746783573;0;22,94783308727862
1663157194000;53,5604422;9,9804436;5,07;5,07;59,8;0;0,1900000000000004;1233;62;0;973;0;2268;0;0,0002540322580645161;0,0006767419354838709;276,5032580105562;27,010756876840663;0;28,93364111928945
1663157195000;53,5604839;9,9803432;9,01;9,01;59,8;0;3,9399999999999995;36197;350;0;1730;0;38277;0;0,004287298387096774;0,011421362903225808;300;44,28941538161081;0;132,54645679192555
1663157196000;53,5605403;9,9802221;8,32;8,32;59,8;0;-0,6899999999999995;-7803;276;0;1597;0;0;0;0;0;300;45,009659500942675;0;121,608463710056
1663157197000;53,5605955;9,9801004;10,66;10,66;59,8;0;2,34;28979;580;0;2047;0;31606;0;0,003540098566308243;0,00943082258064516;300;51,03597764535592;0;181,52015715097048
1663157198000;53,5606588;9,9799546;11,58;11,58;59,7;0;0,9199999999999999;13350;744;-1280,2049999999272;2223;0;15036,795000000073;0;0,0016842288306451693;0,004486785604838731;300;55,56400863501919;0;196,7532729060155
1663157199000;53,5607277;9,9798127;10,56;10,56;59,7;0;-1,0199999999999996;-14736;564;0;2027;0;0;0;0;0;300;55,79253237788965;0;181,09127372674544
1663157200000;53,5607976;9,9796749;10,68;10,68;59,7;0;0,11999999999999922;1663;584;0;2050;0;4297;0;0,0004812948028673835;0,0012821693548387097;300;55,94987029219279;0;175,2301808480868
1663157201000;53,5608629;9,9795589;10,28;10,28;59,7;0;-0,40000000000000036;-5471;521;0;1974;0;0;0;0;0;300;55,622702157937375;0;163,89858986903937
1663157202000;53,5609181;9,9794389;9,91;9,91;59,7;0;-0,3699999999999992;-4875;466;0;1903;0;0;0;0;0;300;55,11171230895751;0;154,51595805017007
1663157203000;53,5609734;9,979317;9,98;9,98;59,7;0;0,07000000000000028;908;476;0;1916;0;3300;0;0,0003696236559139784;0,0009846774193548386;300;54,73348593949666;0;150,9248861181901
1663157204000;53,5610348;9,9791951;10,18;10,18;59,7;0;0,1999999999999993;2630;505;0;1954;0;5089;0;0,0005700044802867383;0,0015184919354838708;300;54,51946060511247;0;149,96734478800468
1663157205000;53,5610959;9,97907;10,56;10,56;59,7;0;0,3800000000000008;5142;564;0;2027;0;7733;0;0,0008661514336917562;0,0023074274193548385;300;54,53353304952012;0;152,16627517967487
1663157206000;53,5611565;9,9789472;9,97;9,97;59,7;0;-0,5899999999999999;-7904;475;0;1914;0;0;0;0;0;282,0242942282806;54,271711982705476;0;145,13875128946415
1663157207000;53,5612114;9,9788322;9,51;9,51;59,7;0;-0,46000000000000085;-5847;412;0;1826;0;0;0;0;0;263,1034945468896;53,91001190736123;0;139,18138161306328
1663157208000;53,5612615;9,9787179;9,37;9,37;59,7;0;-0,14000000000000057;-1725;394;0;1799;0;468;0;0,00005241935483870967;0,00013964516129032258;246,86359258197373;53,563287208471976;0;134,3578070241425
1663157209000;53,5613103;9,978604;9,3;9,3;59,7;0;-0,06999999999999851;-853;385;0;1785;0;1317;0;0,00014751344086021503;0,00039297580645161284;232,6461046750165;53,24351750020496;0;130,89433004000816
1663157210000;53,5613596;9,9784957;9,21;9,21;59,7;0;-0,08999999999999986;-1087;374;0;1768;0;1055;0;0,00011816756272401433;0,0003147983870967742;220,13147415465363;52,943006838752204;0;127,46298984206315
1663157211000;53,5614092;9,9783919;8,89;8,89;59,6;0;-0,3200000000000003;-3780;336;-1280,2050000000183;1707;0;0;0;0;0;209,3899074382021;52,62997516102271;0;123,3987331611161
1663157212000;53,5614582;9,9782908;8,67;8,67;59,7;0;-0,22000000000000064;-2521;312;1280,2050000000183;1664;0;735,2050000000183;0;0,0000823482302867404;0,00021937568548387645;199,95756207380705;52,32434639326225;0;119,7316768469829
1663157213000;53,5615065;9,9781893;8,48;8,48;59,7;0;-0,1899999999999995;-2127;292;0;1628;0;0;0;0;0;191,58279614221595;52,03050561370094;0;116,38967767432418
1663157214000;53,5615493;9,97809;8,12;8,12;59,7;0;-0,3600000000000012;-3900;256;0;1559;0;0;0;0;0;184,30886656524177;51,746658271107236;0;113,43930961885123
1663157215000;53,5615894;9,9779977;7,84;7,84;59,7;0;-0,27999999999999936;-2916;231;0;1505;0;0;0;0;0;177,87420881249153;51,48045736277512;0;110,7879125195714
1663157216000;53,5616287;9,9779087;7,51;7,51;59,7;0;-0,33000000000000007;-3306;203;0;1442;0;0;0;0;0;172,2110718313668;51,23830170599032;0;108,42433921169463
1663157217000;53,561666;9,9778273;7,06;7,06;59,7;0;-0,4500000000000002;-4279;168;0;1355;0;0;0;0;0;167,3295558807612;51,036853996798335;0;106,3830841046993
1663157218000;53,561698;9,9777753;5,57;5,57;59,6;0;-1,4899999999999993;-12280;82;-1280,2050000000183;1069;0;0;0;0;0;164,08592417497937;51,08279209641198;0;105,13502969454068
1663157219000;53,5617316;9,9777103;6,04;6,04;59,7;0;0,46999999999999975;3560;105;1280,2050000000183;1159;0;6104,205000000018;0;0,0006837147177419374;0,0018214160080645212;166,4937131103348;51,00834239844352;0;107,88160655989623
1663157220000;53,5617638;9,9776396;5,57;5,57;59,7;0;-0,46999999999999975;-3561;82;0;1069;0;0;0;0;0;163,3600510645583;51,013689692630294;0;106,60739557580621
1663157221000;53,5617932;9,9775778;5,28;5,28;59,7;0;-0,29000000000000004;-2054;70;0;1013;0;0;0;0;0;160,57089262755147;51,06512268178381;0;105,47821800031853
1663157222000;53,5618234;9,9775153;5,28;5,28;59,7;0;0;0;70;0;1013;0;1083;0;0,00012130376344086021;0,0003231532258064516;157,85917330542728;51,09634835057146;0;105,26875161018086
1663157223000;53,5618552;9,9774549;5,58;5,58;59,7;0;0,2999999999999998;2125;83;0;1071;0;3279;0;0,0003672715053763441;0,0009784112903225806;158,3053070845604;51,047265767808604;0;106,74601376817832
1663157224000;53,5618898;9,977381;6,62;6,62;59,7;0;1,04;8278;139;0;1271;0;9688;0;0,0010851254480286736;0,0028907741935483866;167,29573466899976;50,83650554157701;0;112,97675708832828
1663157225000;53,5619246;9,977304;6,68;6,68;59,7;0;0,05999999999999961;520;142;0;1282;0;1944;0;0,00021774193548387095;0,0005800645161290322;164,27555894573948;50,623400138267606;0;112,71962209741997
1663157226000;53,5619588;9,9772253;6,64;6,64;59,7;0;-0,040000000000000036;-348;140;0;1275;0;1067;0;0,00011951164874551971;0,00031837903225806453;160,65797785414583;50,417460130242105;0;111,7865160582955
1663157227000;53,5619929;9,9771487;6,34;6,34;59,8;0;-0,2999999999999998;-2541;122;1280,2049999999272;1217;0;78,20499999992717;0;0,000008759520609310838;0,000023335362903204072;157,40746022576474;50,242737177133755;0;110,16998055687435
1663157228000;53,5620233;9,9770778;5,99;5,99;59,8;0;-0,34999999999999964;-2816;103;0;1150;0;0;0;0;0;154,522051865959;50,10881167292148;0;108,73841592832369
1663157229000;53,5620534;9,9770131;5,64;5,64;59,7;0;-0,35000000000000053;-2657;86;-1280,2049999999272;1083;0;0;0;0;0;151,9670350576046;50,020461546886;0;107,47680218570952
1663157230000;53,5620824;9,9769532;5,42;5,42;59,7;0;-0,21999999999999975;-1588;76;0;1040;0;0;0;0;0;149,62996020323587;49,960509931479116;0;106,32132371813397
1663157231000;53,562109;9,9768992;4,8;4,8;59,7;0;-0,6200000000000001;-4135;53;0;921;0;0;0;0;0;147,74094413345622;50,00440476357897;0;105,4166030448106
1663157232000;53,5621348;9,9768484;4,67;4,67;59,7;0;-0,1299999999999999;-804;48;0;896;0;140;0;0,000015681003584229387;0,00004177419354838709;145,9689604551193;50,062540107809085;0;104,67032891967132
1663157233000;53,5621604;9,9767864;4,61;4,61;59,7;0;-0,05999999999999961;-364;46;0;885;0;567;0;0,00006350806451612903;0,00016918548387096774;144,26594262105792;50,12097785342294;0;104,26187144495114
1663157234000;53,5621847;9,976722;4,37;4,37;59,7;0;-0,2400000000000002;-1407;40;0;839;0;0;0;0;0;142,7312535552305;50,217639441069586;0;103,52049199221183
1663157235000;53,5622101;9,9766611;4,23;4,23;59,7;0;-0,13999999999999968;-786;36;0;812;0;62;0;0,000006944444444444444;0,0000185;141,29856098015335;50,3320763450058;0;102,87219633392537
1663157236000;53,562235;9,9766012;4,07;4,07;59,6;0;-0,16000000000000014;-867;32;-1280,2050000000183;781;0;0;0;0;0;139,9731211688126;50,46932508004035;0;102,2334527748881
1663157237000;53,562253;9,9765417;3,94;3,94;59,6;0;-0,13000000000000034;-680;29;0;756;0;105;0;0,000011760752688172041;0,00003133064516129032;138,73317691856343;50,623269164050164;0;101,71113713622748
1663157238000;53,5622825;9,9764501;3,92;3,92;59,6;0;-0,020000000000000018;-103;28;0;752;0;677;0;0,00007582885304659497;0,000202008064516129;137,51729255525282;50,7692402022207;0;101,59981170966374
1663157239000;53,562295;9,976406;3,78;3,78;59,7;0;-0,14000000000000012;-704;25;1280,2050000000183;725;0;1326,2050000000183;0;0,00014854446684588017;0,0003957224596774248;136,38620011858114;50,93517604047355;0;101,07897678819147
1663157240000;53,5623093;9,9763596;3,66;3,66;59,6;0;-0,11999999999999966;-583;23;-1280,2050000000183;702;0;0;0;0;0;135,3258346163909;51,11700305363035;0;100,5592935585079
1663157241000;53,5623226;9,9763195;3,42;3,42;59,6;0;-0,2400000000000002;-1109;19;0;656;0;0;0;0;0;134,3917768004002;51,34425609761368;0;100,11171508451054
1663157242000;53,5623329;9,9762861;2,35;2,35;59,6;0;-1,0699999999999998;-4029;6;0;451;0;0;0;0;0;133,9787003511637;51,84340948460965;0;99,98755829527408
1663157243000;53,5623426;9,9762526;1,25;1,25;59,3;0;-1,1;-2584;0;-3840,6150000000544;240;0;0;0;0;0;134,08341054424025;52,663120174183945;0;100,18555450404479
1663157244000;53,5623432;9,9762559;0,3;0,3;59,4;4;-0,95;-961;0;0;57;0;0;0;0;0;134,62622805833263;53,78775231999363;0;100,6546536034801
1663157245000;53,5623444;9,976273;0,23;0,23;59,4;0;-0,06999999999999998;-25;0;0;44;372;391;1;0,00004379480286738351;0,00011666935483870968;135,18333963348422;54,940640716387264;4,41009318785274;101,4011797471458
1663157246000;53,5623477;9,9762943;0;0;59,4;4;-0,23;-35;0;0;0;372;372;1;0,000041666666666666665;0,000111;135,8328402219472;56,17940691460181;8,570943360354878;102,18708533826137
1663157262000;53,5623691;9,9763573;0;0;59,3;4;0;0;0;0;0;5952;5952;16;0,0006666666666666666;0,001776;142,9006642472296;73,16058918722676;54,008583012449705;111,36629675590135
1663157263000;53,5623706;9,9763499;0,5;0,5;59,3;0;0,5;163;0;0;96;0;259;0;0,00002900985663082437;0,00007728225806451612;142,9097985110164;73,05761485366754;53,25130117994434;111,3042012227036
1663157264000;53,5623733;9,9763343;2,37;2,37;59,3;0;1,87;3501;6;0;455;0;3962;0;0,0004437724014336917;0,0011822096774193546;146,45919896416007;72,61257305475294;52,51496216557822;113,58333241577733
1663157265000;53,5623817;9,9762905;3,86;3,86;59,3;0;1,4899999999999998;6056;27;0;741;0;6824;0;0,0007643369175627239;0,0020361935483870965;152,5893913523619;72,00930954901294;51,798709050211414;117,60735328499959
1663157266000;53,5623901;9,9762233;4,69;4,69;59,3;0;0,8300000000000005;4630;49;0;900;0;5579;0;0,0006248879928315411;0,0016647016129032256;156,43863699174156;71,39348290048285;51,10173103583809;120,46394524577579
1663157267000;53,5623934;9,9761448;4,67;4,67;59,3;0;-0,020000000000000462;-123;48;0;896;0;821;0;0,00009195788530465948;0,0002449758064516129;154,461438290894;70,7932229684383;50,423260383866634;119,84032430007987
1663157268000;53,5623798;9,9760355;4,22;4,22;58,6;0;-0,4500000000000002;-2611;36;-8961,434999999945;810;0;0;0;0;0;152,7172635331053;70,21420189803744;49,76256959410436;118,74281737935819
1663157269000;53,5623612;9,9759861;3,89;3,89;58,6;0;-0,3299999999999996;-1747;28;0;746;0;0;0;0;0;151,14401251907734;69,66170893182849;49,1189688026546;117,73766502231884
1663157270000;53,5623332;9,9759442;4,28;4,28;58,6;0;0,3900000000000001;2079;37;0;821;0;2937;0;0,0003289650537634408;0,0008763629032258064;151,9425569633252;69,10596427394026;48,491803379160245;118,72515900668151
1663157271000;53,5622784;9,975904;5,34;5,34;58,6;0;1,0599999999999996;6653;73;0;1025;0;7751;0;0,0008681675627240143;0,0023127983870967744;157,71400032363408;68,58391504136712;47,88045170580128;122,80250220898384
1663157272000;53,5622185;9,9758784;5,36;5,36;58,6;0;0,020000000000000462;139;73;0;1029;0;1241;0;0,00013900089605734767;0,0003702983870967742;155,72356522782414;68,07739428459065;47,28432312220584;122,32088095189914
