Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663158477000;53,5602885;9,9806724;4,09;;59,4;0;;;;;;;;;;;;;;
1663158478000;53,5603416;9,9805953;6,78;6,78;59,4;0;2,6900000000000004;19079;149;0;1301;0;20529;0;0,0022993951612903223;0,006125588709677419;300;36,82018755024064;0;63,54506377607416
1663158479000;53,5604026;9,9805112;6,93;6,93;59,4;0;0,14999999999999947;1341;159;0;1330;0;2830;0;0,00031698028673835123;0,0008444354838709677;300;37,16260522343559;0;67,55560163630864
1663158480000;53,5604638;9,9804273;7,13;7,13;59,4;0;0,20000000000000018;1834;173;0;1369;0;3376;0;0,00037813620071684587;0,0010073548387096775;300;37,599949035840325;0;72,35638990511387
1663158481000;53,5605207;9,9803368;8,28;8,28;59,4;0;1,1499999999999995;11563;272;0;1590;0;13425;0;0,0015036962365591396;0,004005846774193548;300;39,811002432365484;0;100,29081018089607
1663158482000;53,5605803;9,9802356;8,74;8,74;59,4;0;0,46000000000000085;5108;320;0;1678;0;7106;0;0,0007959229390681003;0,0021203387096774195;300;41,63807551770413;0;109,12910364050931
1663158483000;53,5606397;9,9801297;9,36;9,36;59,4;0;0,6199999999999992;7322;393;0;1797;0;9512;0;0,0010654121863799282;0,0028382580645161287;300;43,58860237939524;0;121,11785049062252
1663158484000;53,5606995;9,9800144;9,95;9,95;59,4;0;0,5899999999999999;7433;472;0;1910;0;9815;0;0,0010993503584229391;0,00292866935483871;300;45,58457588047689;0;131,26205858491105
1663158485000;53,5607649;9,9799067;9,64;9,64;59,4;0;-0,3099999999999987;-3963;429;0;1851;0;0;0;0;0;300;46,43243303726498;0;122,53187776178392
1663158486000;53,5608286;9,9797919;10,25;10,25;59,3;0;0,6099999999999994;7916;516;-1280,2050000000183;1968;0;9119,794999999982;0;0,0010214824148745499;0,002721229153225801;300;47,6412836087933;0;132,08362416437626
1663158487000;53,5608884;9,97966;10,98;10,98;59,3;0;0,7300000000000004;10112;634;0;2108;0;12854;0;0,0014397401433691756;0,003835467741935484;300;49,273729301799065;0;143,44965960720845
1663158488000;53,5609504;9,9795223;11,27;11,27;59,3;0;0,28999999999999915;4210;686;0;2164;0;7060;0;0,0007907706093189963;0,002106612903225806;300;50,72148642648819;0;144,37371057976912
