Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663159698000;53,5605333;9,9804948;6,53;;60,9;0;;;;;;;;;;;;;;
1663159699000;53,5605702;9,9804126;6,98;6,98;60,8;0;0,4500000000000002;3966;163;-1280,2050000000183;1340;0;4188,794999999982;0;0,000469175067204299;0,0012498823790322525;242,79306512684954;37,698433328682064;0;16,78504317723803
1663159700000;53,5606012;9,980331;6,91;6,91;60,9;0;-0,07000000000000028;-635;158;1280,2050000000183;1326;0;2129,205000000018;0;0,00023848622311828157;0,0006353272983871021;122,17360670105953;37,54744008182388;0;18,187011000195067
1663159701000;53,5606363;9,9802517;7,13;7,13;60,9;0;0,21999999999999975;2015;173;0;1369;0;3557;0;0,0003984094982078853;0,0010613629032258064;121,45978857805527;37,83519675616669;0;26,62967787299898
1663159702000;53,5606717;9,9801706;7,01;7,01;60,9;0;-0,1200000000000001;-1108;165;0;1346;0;403;0;0,00004513888888888889;0,00012025;91,08107761536266;37,8339885951862;0;26,14144907461837
1663159703000;53,560709;9,9800927;7,28;7,28;60,9;0;0,27000000000000046;2517;185;0;1397;0;4099;0;0,00045911738351254474;0,0012230887096774193;102,51392146915015;38,098058973798246;0;34,46440024012089
1663159704000;53,5607465;9,9800124;7,28;7,28;60,9;0;0;0;185;0;1397;0;1582;0;0,0001771953405017921;0,00047204838709677415;84,87217888281695;38,266273631988604;0;36,190550443285275
1663159705000;53,5607849;9,9799317;7,26;7,26;60,9;0;-0,020000000000000462;-190;183;0;1394;0;1387;0;0,00015535394265232973;0,0004138629032258064;72,44727717243705;38,36824020768505;0;37,336108492331505
1663159706000;53,560824;9,9798489;7,79;7,79;60,9;0;0,5300000000000002;5204;226;0;1495;0;6925;0;0,0007756496415770608;0,00206633064516129;100,69839244314211;38,84133551840538;0;49,42675625812423
1663159707000;53,5608646;9,9797585;8,07;8,07;60,9;0;0,28000000000000025;2897;252;0;1549;0;4698;0;0,0005262096774193548;0,0014018225806451613;106,6151105151157;39,41211205578212;0;55,83175883324786
1663159708000;53,560907;9,9796603;8,82;8,82;60,9;0;0,75;8265;329;0;1693;0;10287;0;0,0011522177419354836;0,0030695080645161284;139,98423116884808;40,51151653507467;0;71,31018314949495
1663159709000;53,5609536;9,9795537;9,25;9,25;61;0;0,4299999999999997;5069;379;1280,2050000000183;1776;0;8504,205000000018;0;0,0009525319220430127;0,002537545040322586;148,99365300051767;41,73247489915825;0;79,55581148591648
1663159710000;53,5610009;9,9794395;9,2;9,2;61;0;-0,05000000000000071;-602;373;0;1766;0;1537;0;0,00017215501792114694;0,0004586209677419355;133,58625225311897;42,589342038157085;0;77,75427750097653
1663159711000;53,5610466;9,9793266;9,23;9,23;61;0;0,030000000000001137;360;377;0;1772;0;2509;0;0,0002810259856630824;0,0007486532258064516;122,4633167027277;43,26770126577944;0;77,6262386642193
1663159712000;53,5610967;9,9792176;9,21;9,21;61;0;-0,019999999999999574;-241;374;0;1768;0;1901;0;0,00021292562724014335;0,0005672338709677419;111,93769966966931;43,78647794539282;0;76,64531457018914
1663159713000;53,561146;9,9791109;9,01;9,01;61;0;-0,20000000000000107;-2378;350;0;1730;0;0;0;0;0;103,29338872912331;44,08989822390832;0;73,22002259220135
1663159714000;53,561192;9,979009;8,33;8,33;61;0;-0,6799999999999997;-7694;277;0;1599;0;0;0;0;0;96,54338283099125;44,06607225403208;0;70,42773862177619
1663159715000;53,5612315;9,9789116;7,98;7,98;60,9;0;-0,34999999999999964;-3725;243;-1280,2050000000183;1532;0;0;0;0;0;90,92261587282404;43,95362664451603;0;68,00198480316585
