Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663145034000;53,560326;9,9808199;1,77;;59,3;0;;;;;;;;;;;;;;
1663145035000;53,56034;9,98078;3,22;3,22;59,3;0;1,4500000000000002;4721;16;0;618;0;5355;0;0,0005997983870967741;0,0015978629032258065;300;11,362601778315137;0;18,024652131784684
1663145036000;53,5603686;9,9807134;5,42;5,42;59,3;0;2,1999999999999997;12402;76;0;1040;0;13518;0;0,0015141129032258064;0,004033596774193548;300;24,42996642518733;0;60,282444071962416
1663145037000;53,5604326;9,9805863;8,22;8,22;59,3;0;2,8000000000000007;24920;266;0;1578;0;26764;0;0,0029977598566308244;0,007986032258064516;300;44,64567396152451;0;133,81578031811642
1663145038000;53,5604747;9,9805103;9;9;59,3;0;0,7799999999999994;8764;349;0;1728;0;10841;0;0,0012142697132616486;0,003234814516129032;300;48,43251748843296;0;149,0130233457721
1663145039000;53,5605214;9,9804178;8,12;8,12;59,3;0;-0,8800000000000008;-9831;256;0;1559;0;0;0;0;0;300;47,30405806544482;0;138,07794204299756
1663145040000;53,5605644;9,9803313;7,8;7,8;59,3;0;-0,3199999999999994;-3325;227;0;1497;0;0;0;0;0;300;46,18957861961772;0;129,46012084035925
1663145041000;53,5606082;9,9802436;7,74;7,74;59,3;0;-0,05999999999999961;-609;222;0;1486;0;1099;0;0,0001230958781362007;0,0003279274193548387;300;45,37811357615949;0;124,43059276013118
1663145042000;53,5606631;9,9801242;8,01;8,01;59,1;0;0,2699999999999996;2774;246;-2560,4099999999453;1538;0;1997,5900000000547;0;0,00022374439964158315;0,0005960550806451776;300;44,98340552482452;0;126,69383586824412
1663145043000;53,5606958;9,9800449;7,89;7,89;59,1;0;-0,1200000000000001;-1245;235;0;1515;0;505;0;0,000056563620071684584;0,00015068548387096775;300;44,59838515324346;0;121,0901596991589
1663145044000;53,5607372;9,9799539;7,96;7,96;59,1;0;0,07000000000000028;723;241;0;1528;0;2492;0;0,00027912186379928315;0,0007435806451612904;300;44,33377996671405;0;119,64491093444518
1663145045000;53,5607776;9,9798561;8,35;8,35;59,1;0;0,3899999999999997;4150;279;0;1603;0;6032;0;0,0006756272401433691;0,0017998709677419353;300;44,346678577722926;0;124,10811081218218
1663145046000;53,5608259;9,979751;8,77;8,77;59,1;0;0,41999999999999993;4691;323;0;1684;0;6698;0;0,0007502240143369176;0,0019985967741935487;291,76615141648165;44,62033426494848;0;128,8052727767741
1663145047000;53,5608772;9,9796406;9,29;9,29;59,1;0;0,5199999999999996;6127;384;0;1783;0;8294;0;0,0009289874551971325;0,002474822580645161;288,8107545153935;45,198864020858814;0;135,0034784779538
1663145048000;53,5609322;9,9795214;10;10;59,1;0;0,7100000000000009;8936;479;0;1920;0;11335;0;0,0012696012544802866;0,003382217741935484;294,52739436063655;46,21872848625398;0;144,3316573794214
1663145049000;53,5609955;9,9793946;10,31;10,31;59,1;0;0,3100000000000005;4108;525;0;1979;0;6612;0;0,0007405913978494623;0,001972935483870968;281,652434711989;47,25741550526329;0;145,74264126537966
1663145050000;53,5610516;9,9792747;9,98;9,98;59,1;0;-0,33000000000000007;-4369;476;0;1916;0;0;0;0;0;258,8565618052531;47,81322973172724;0;138,55922114688758
1663145051000;53,5611032;9,9791634;9,66;9,66;59,1;0;-0,3200000000000003;-4101;432;0;1855;0;0;0;0;0;240,16230774221307;48,068643470581144;0;132,34409160841537
1663145052000;53,5611538;9,979054;9,48;9,48;59,1;0;-0,17999999999999972;-2248;408;0;1820;0;0;0;0;0;224,32550684046083;48,19048360665436;0;126,81477993444692
1663145053000;53,561205;9,9789447;9,48;9,48;59,1;0;0;0;408;0;1820;0;2228;0;0,00024955197132616483;0,0006648064516129031;210,44043866135667;48,289204029074384;0;124,34146476752372
1663145054000;53,561258;9,978832;9,51;9,51;59,1;0;0,02999999999999936;371;412;0;1826;0;2609;0;0,00029222670250896054;0,0007784919354838709;199,01667900260892;48,381588556657476;0;122,46689161819843
1663145055000;53,5613076;9,9787156;9,5;9,5;59,1;0;-0,009999999999999787;-125;411;0;1824;0;2110;0;0,00023633512544802865;0,0006295967741935484;188,02037454257882;48,454806164119205;0;120,20333869983834
