Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663148197000;53,560358;9,9811201;2,16;;59;0;;;;;;;;;;;;;;
1663148198000;53,5603572;9,9812128;3,53;3,53;59;0;1,3699999999999997;5086;21;0;677;0;5784;0;0,0006478494623655913;0,0017258709677419352;300;13,655746740037717;0;19,4150568106881
1663148199000;53,5603249;9,981241;1,96;1,96;59,1;0;-1,5699999999999998;-5625;3;1280,2050000000183;376;0;0;0;0;0;300;10,283481183902598;0;18,975367887647927
1663148200000;53,5602908;9,9812087;2,57;2,57;59,1;0;0,6099999999999999;1803;8;0;493;0;2304;0;0,00025806451612903227;0,000687483870967742;300;9,312476299124977;0;25,814742962465903
1663148201000;53,5602913;9,9811833;0,79;0,79;59,1;0;-1,7799999999999998;-3903;0;0;151;0;0;0;0;0;300;8,542245687543756;0;25,501931390272176
1663148202000;53,5602738;9,9811439;1,52;1,52;59,1;0;0,73;1100;1;0;291;0;1392;0;0,00015591397849462366;0,00041535483870967744;300;7,661274970291659;0;29,35933821948088
1663148203000;53,5602794;9,9811099;2,42;2,42;59,1;0;0,8999999999999999;2313;6;0;464;0;2783;0;0,00031171594982078854;0,0008304112903225807;300;7,426026300023477;0;37,04848680715923
1663148204000;53,5603005;9,9810516;4,2;4,2;59,1;0;1,7800000000000002;7688;35;0;806;0;8529;0;0,0009553091397849462;0,0025449435483870966;300;10,369099617769493;0;60,48022565376954
1663148205000;53,5603134;9,9810077;3,61;3,61;59,1;0;-0,5900000000000003;-3007;22;0;693;0;0;0;0;0;300;11,054757460847307;0;58,568205939085956
1663148206000;53,5603288;9,9809663;3,41;3,41;59,1;0;-0,19999999999999973;-917;19;0;654;0;0;0;0;0;300;11,294541676488427;0;56,854100513068005
1663148207000;53,5603443;9,9809233;3,29;3,29;59,1;0;-0,1200000000000001;-525;17;0;631;0;123;0;0,000013776881720430105;0,000036701612903225805;300;11,362927413510244;0;55,611522632682096
1663148208000;53,5603563;9,9808914;2,38;2,38;59,1;0;-0,9100000000000001;-3367;6;0;457;0;0;0;0;0;277,5399790235806;10,949524199071865;0;54,452782875605024
1663148209000;53,5603636;9,9808708;0,57;0,57;59;0;-1,81;-3485;0;-1280,2050000000183;109;0;0;0;0;0;272,3103000799957;10,749911700985363;0;53,99407066377013
1663148210000;53,5603629;9,9808727;0;0;59;4;-0,57;-212;0;0;0;372;372;1;0,000041666666666666665;0,000111;272,3103000799957;10,749911700985363;16,230040807061755;54,70542464861327
1663148218000;53,5603791;9,9809001;0;0;59,1;4;0;0;0;0;0;2976;2976;8;0,0003333333333333333;0,000888;272,3103000799957;10,749911700985363;90,4245130679155;60,17230686894356
1663148219000;53,5603831;9,980897;0,41;0,41;59,1;0;0,41;109;0;0;78;0;187;0;0,000020945340501792113;0,000055798387096774194;270,30670035814677;10,608622264491673;86,3143079284648;60,21300321772121
1663148220000;53,5603905;9,9808816;2,24;2,24;59,1;0;1,8300000000000003;3164;5;0;430;0;3599;0;0,00040311379928315407;0,0010738951612903225;295,93630548589664;10,260714433878485;82,56151193157503;67,80007898359297
1663148221000;53,5604087;9,9808391;4,19;4,19;59,1;0;1,9500000000000002;8181;35;0;804;0;9020;0;0,0010103046594982078;0,0026914516129032257;300;11,275035507353142;79,12144893442606;86,92365311538771
1663148222000;53,5604446;9,9807583;6,93;6,93;59,1;0;2,7399999999999993;19880;159;0;1330;0;21369;0;0,0023934811827956985;0,006376233870967741;300;17,785466754956396;75,95659097704902;130,91600659861442
1663148223000;53,5604846;9,9806577;8,6;8,6;59,1;0;1,67;16922;305;0;1651;0;18878;0;0,0021144713261648743;0,005632951612903225;300;28,125468987183407;73,0351836317779;164,26065755124884
1663148224000;53,5605303;9,9805447;9,53;9,53;59,1;0;0,9299999999999997;11001;415;0;1830;0;13246;0;0,0014836469534050176;0,003952435483870967;300;39,07447081166693;70,33017683060095;182,054651667823
1663148225000;53,5605808;9,9804168;11,06;11,06;59,1;0;1,5300000000000011;20555;648;0;2123;0;23326;0;0,0026126792114695334;0,006960177419354837;300;53,423080443290075;67,81838480093663;215,61238084895328
1663148226000;53,5606377;9,9802865;10,56;10,56;59,1;0;-0,5;-7054;564;0;2027;0;0;0;0;0;300;62,09386524190258;65,4798198078009;204,22470243751542
1663148227000;53,5606886;9,9801611;10,02;10,02;59,1;0;-0,5400000000000009;-7252;482;0;1924;0;0;0;0;0;300;67,21483369913206;63,297159147540846;194,45319094590744
1663148228000;53,5607405;9,9800421;9,96;9,96;59,1;0;-0,05999999999999872;-783;473;0;1912;0;1602;0;0,0001794354838709677;0,000478016129032258;300;71,1987355070465;61,2553153040718;188,2273616728546
1663148229000;53,5607959;9,9799147;10,77;10,77;59,1;0;0,8099999999999987;10956;599;0;2068;0;13623;0;0,0015258736559139784;0,0040649274193548385;300;76,45738212373334;59,341086700819545;200,62322319266275
1663148230000;53,5608538;9,9797778;11,4;11,4;59,1;0;0,6300000000000008;9113;710;0;2189;0;12012;0;0,0013454301075268816;0,003584225806451613;300;82,4293615918363;57,54287195230986;209,00821141293417
1663148231000;53,5609146;9,9796379;11,11;11,11;59,1;0;-0,2900000000000009;-4260;657;0;2133;0;0;0;0;0;300;86,71334415585464;55,85043454194781;199,86098079978026
1663148232000;53,5609711;9,9795052;10,92;10,92;59,1;0;-0,1899999999999995;-2732;624;0;2096;0;0;0;0;0;300;89,95851543435684;54,2547078407493;191,61342672124528
1663148233000;53,5610288;9,9793804;10,4;10,4;59,1;0;-0,5199999999999996;-7234;539;0;1997;0;0;0;0;0;300;91,83509285206127;52,74763262295071;184,34650495210195
1663148234000;53,5610813;9,9792571;9,92;9,92;59,1;0;-0,4800000000000004;-6365;468;0;1904;0;0;0;0;0;300;92,77876730311873;51,322020930438526;177,89273162998361
1663148235000;53,5611185;9,9791384;9,56;9,56;59,1;0;-0,35999999999999943;-4576;419;0;1835;0;0;0;0;0;300;93,17542169634955;49,971441432269096;172,07464350090734
1663148236000;53,561165;9,9790238;9,35;9,35;59,1;0;-0,21000000000000085;-2592;392;0;1795;0;0;0;0;0;288,32078424002117;93,30678618154734;48,69012242118527;166,73334429224445
1663148237000;53,5612162;9,9789141;9,28;9,28;59,1;0;-0,07000000000000028;-851;383;0;1782;0;1314;0;0,0001471774193548387;0,0003920806451612903;274,7016410162229;93,35729605305141;47,472869360655636;163,25115661726784
1663148238000;53,5612617;9,9788032;9,11;9,11;59,1;0;-0,16999999999999993;-2040;362;0;1749;0;71;0;0,000007952508960573476;0,000021185483870967743;262,5280167050015;93,25061565882731;46,314994498200626;158,66925726855635
1663148239000;53,5613128;9,9786985;8,95;8,95;59,1;0;-0,16000000000000014;-1886;343;0;1718;0;175;0;0,00001960125448028674;0,000052217741935483873;251,57507176042867;93,02251527527771;45,21225653395775;154,5228876783621
1663148240000;53,5613563;9,9785949;8,62;8,62;59,1;0;-0,33000000000000007;-3784;307;0;1655;0;0;0;0;0;241,85661196579343;92,57466316161722;44,16080870758664;150,5522860012399
1663148241000;53,5613979;9,9784966;8,28;8,28;59,1;0;-0,33999999999999986;-3750;272;0;1590;0;0;0;0;0;233,11102624398382;91,73986950791861;43,18787735447812;146,84183479629567
1663148242000;53,5614356;9,9784051;7,86;7,86;59,1;0;-0,41999999999999904;-4424;232;0;1509;0;0;0;0;0;224,91548598879518;89,70072457506616;42,41092910060504;143,11406800604144
1663148243000;53,5614732;9,9783179;7,4;7,4;59,1;0;-0,45999999999999996;-4581;194;0;1421;0;0;0;0;0;217,76112078359756;87,83964107784925;41,6301297845339;139,804671279829
1663148244000;53,5615182;9,978226;6,8;6,8;59,4;0;-0,6000000000000005;-5560;150;3840,6149999999634;1305;0;0;0;0;0;211,65245095369679;86,1891944385128;40,838249801726725;136,9387796085987
1663148245000;53,5615535;9,9781654;6,54;6,54;59,4;0;-0,2599999999999998;-2264;134;0;1255;0;0;0;0;0;206,12619132098456;84,69036418285056;40,05955137965967;134,31255009678594
1663148246000;53,5615877;9,9780897;7,32;7,32;59,4;0;0,7800000000000002;7054;188;0;1405;0;8647;0;0,0009685259856630823;0,0025801532258064516;212,14056773712036;83,16995596641124;39,35735540031502;139,39213125160532
1663148247000;53,5616246;9,9779961;8,3;8,3;59,4;0;0,9800000000000004;9988;274;0;1593;0;11855;0;0,001327844982078853;0,0035373790322580645;221,68442311206306;81,7652144366641;38,736981008847145;146,6534330520188
1663148248000;53,5616695;9,9778944;8,46;8,46;59,4;0;0,16000000000000014;1749;290;0;1624;0;3663;0;0,0004102822580645161;0,001092991935483871;217,35769200557687;80,47461207796216;38,14499529847374;146,2992864480896
1663148249000;53,5617155;9,9777918;8,35;8,35;59,4;0;-0,11000000000000121;-1207;279;0;1603;0;675;0;0,00007560483870967741;0,00020141129032258062;210,6913443532286;79,25588768959322;37,5647379396726;143,45029162808504
1663148250000;53,5617582;9,9776944;7,94;7,94;59,4;0;-0,40999999999999925;-4358;240;0;1524;0;0;0;0;0;204,7573121748652;78,08310299154378;36,97985167794254;140,34968222781905
1663148251000;53,5617953;9,9776064;7,21;7,21;59,4;0;-0,7300000000000004;-7217;179;0;1384;0;0;0;0;0;199,72562677937012;76,98546280763468;36,37495191466999;137,6969085658419
1663148252000;53,5618249;9,977533;6,59;6,59;59,4;0;-0,6200000000000001;-5583;137;0;1265;0;0;0;0;0;195,40732767044256;76,00378687017172;35,75838214821016;135,40454975907804
1663148253000;53,5618557;9,9774574;6,25;6,25;59,4;0;-0,33999999999999986;-2849;117;0;1200;0;0;0;0;0;191,52130980764886;75,11659609003996;35,14587558340788;133,3266894038157
1663148254000;53,5618869;9,9773844;6,19;6,19;59,4;0;-0,05999999999999961;-488;113;0;1188;0;813;0;0,00009106182795698924;0,00024258870967741933;187,8291315296978;74,27589148957753;34,55118757198906;131,9729046180774
1663148255000;53,5619182;9,9773136;5,84;5,84;59,4;0;-0,35000000000000053;-2748;95;0;1121;0;0;0;0;0;184,51565225408112;73,52971703082048;33,96043986122801;130,16912102016548
1663148256000;53,5619474;9,9772434;6,03;6,03;59,4;0;0,1900000000000004;1471;105;0;1157;0;2733;0;0,0003061155913978494;0,0008154919354838708;183,14253532836258;72,77670676661145;33,397868980516314;130,4236864179223
