Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663155911000;53,5602032;9,9809003;1,49;;59;0;;;;;;;;;;;;;;
1663155912000;53,5602553;9,980909;2,66;2,66;59;0;1,1700000000000002;3168;9;0;510;0;3687;0;0,0004129704301075269;0,0011001532258064516;300;7,754062839266094;0;12,471539372858228
1663155913000;53,5602987;9,9809153;3,24;3,24;59;0;0,5800000000000001;2232;16;0;622;0;2870;0;0,0003214605734767025;0,0008563709677419356;300;9,813454959729215;0;21,436074829690472
1663155914000;53,5603361;9,980917;3,45;3,45;59;0;0,20999999999999996;916;19;0;662;0;1597;0;0,0001788754480286738;0,00047652419354838704;300;11,005401585642248;0;25,74681740615486
1663155915000;53,560342;9,9809134;2,79;2,79;59;0;-0,6600000000000001;-2688;10;0;535;0;0;0;0;0;238,257255616334;10,436622549792537;0;25,029740912049213
1663155916000;53,5603347;9,9809036;0,13;0,13;59,1;4;-2,66;-5069;0;0;24;372;372;1;0,000041666666666666665;0,000111;235,73293261469396;10,326243310489422;42,19810609836057;26,00376789499743
1663155917000;53,5603419;9,9808976;0;0;59,1;4;-0,13;-12;0;0;0;372;372;1;0,000041666666666666665;0,000111;235,73293261469396;10,326243310489422;70,33017683060095;26,993191960873908
1663155919000;53,5603541;9,9808898;0;0;59,1;4;0;0;0;0;0;744;744;2;0,00008333333333333333;0,000222;235,73293261469396;10,326243310489422;105,49526524590142;28,94062383447157
1663155920000;53,5603605;9,9808764;1,1;1,1;59,1;0;1,1;789;0;0;211;0;1000;0;0,00011200716845878135;0,00029838709677419353;243,3738854875639;9,585761549458914;93,77356910746794;31,50216880760157
1663155921000;53,5603743;9,9808487;2,1;2,1;59,1;0;1;2088;4;0;403;0;2495;0;0,0002794578853046595;0,0007444758064516129;272,13001745680816;8,940571925167491;84,39621219672114;38,0682061157695
