Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663158476000;53,5602642;9,9808985;2,35;;59,1;0;;;;;;;;;;;;;;
1663158477000;53,5602744;9,9808933;0,66;0,66;59,1;0;-1,69;-3320;0;0;126;0;0;0;0;0;0;0,4773686716016042;0;0
1663158478000;53,5602696;9,9808953;0;0;59,1;4;-0,66;-285;0;0;0;372;372;1;0,000041666666666666665;0,000111;0;0,4773686716016042;105,49526524590142;1,2733349558195453
1663158480000;53,560254;9,9808796;0;0;59,1;4;0;0;0;0;0;744;744;2;0,00008333333333333333;0,000222;0;0,4773686716016042;158,24289786885214;3,774447037535363
1663158481000;53,5602448;9,9808787;0,48;0,48;59,1;0;0,48;150;0;0;92;0;242;0;0,000027105734767025088;0,00007220967741935484;60,37531712135317;0,38268397640789753;126,59431829508172;4,546435149976083
1663158482000;53,5602552;9,9808781;1,43;1,43;59,1;0;0,95;1183;1;0;274;0;1458;0;0,0001633064516129032;0,0004350483870967742;237,69538684010686;1,4166778778398157;105,49526524590141;9,256803774497445
1663158483000;53,5602853;9,9808506;3,51;3,51;59,3;0;2,08;6704;20;2560,4099999999453;674;0;9958,409999999945;0;0,0011154133064516065;0,00297146104838708;300;8,393246175505379;90,4245130679155;32,40669496115775
1663158484000;53,5603047;9,9808051;4,71;4,71;59,3;0;1,2000000000000002;6436;50;0;904;0;7390;0;0,0008277329749103942;0,0022050806451612906;300;15,341712138782773;79,12144893442607;53,46130382690377
1663158485000;53,5603278;9,9807391;5,45;5,45;59,3;0;0,7400000000000002;4905;77;0;1046;0;6028;0;0,0006751792114695341;0,0017986774193548389;300;21,116863552894664;70,33017683060095;68,43150555775725
1663158486000;53,5603522;9,9806769;6,55;6,55;59,3;0;1,0999999999999996;8612;134;0;1257;0;10003;0;0,00112040770609319;0,002984766129032258;300;28,560542638702906;63,29715914754086;92,33507097894214
1663158487000;53,5604032;9,9806045;7,28;7,28;59,3;0;0,7300000000000004;6587;185;0;1397;0;8169;0;0,0009149865591397848;0,002437524193548387;300;35,7073263281525;57,54287195230986;108,54679130896639
1663158488000;53,5604453;9,9805172;8,22;8,22;59,3;0;0,9400000000000004;9506;266;0;1578;0;11350;0;0,0012712813620071684;0,0033866935483870967;300;43,93807104436156;52,747632622950704;130,13991082986843
1663158489000;53,5604924;9,9804193;8,81;8,81;59,3;0;0,5899999999999999;6556;327;0;1691;0;8574;0;0,0009603494623655913;0,0025583709677419355;300;51,62960439523252;48,690122421185265;142,46003802950324
1663158490000;53,5605425;9,9803175;8,1;8,1;59,3;0;-0,7100000000000009;-7834;254;0;1555;0;0;0;0;0;300;54,60423929997267;45,21225653395775;135,28132710227678
1663158491000;53,5606014;9,9802052;8,18;8,18;59,1;0;0,08000000000000007;849;262;-2560,4099999999453;1570;0;120,59000000005472;0;0,00001350694444445057;0,00003598250000001632;300;57,02084144756111;42,19810609836057;134,32346633984068
1663158492000;53,5606517;9,9801123;9,12;9,12;59,1;0;0,9399999999999995;10610;363;0;1751;0;12724;0;0,0014251792114695339;0,0037966774193548387;300;61,31402904956516;39,560724467213035;152,6842531762484
1663158493000;53,5607116;9,980001;10,05;10,05;59,1;0;0,9300000000000015;11632;486;0;1929;0;14047;0;0,0015733646953405016;0,004191443548387097;300;67,3249597292066;37,23362302796521;170,97545914664815
1663158494000;53,560769;9,9798732;10,71;10,71;59,1;0;0,6600000000000001;8940;589;0;2056;0;11585;0;0,001297603046594982;0,003456814516129032;300;74,02908552468023;35,165088415300474;182,4837539234308
1663158495000;53,5608333;9,9797414;11,63;11,63;59,1;0;0,9199999999999999;13410;754;0;2233;0;16397;0;0,0018365815412186377;0,004892653225806451;300;77,22855283235114;33,999776588290196;197,6468067574295
1663158496000;53,5609012;9,979603;11,74;11,74;59,1;0;0,10999999999999943;1677;776;0;2254;0;4707;0;0,0005272177419354838;0,001404508064516129;300;78,23311731082113;33,082271034115394;191,9485165814697
1663158497000;53,5609641;9,9794653;11,28;11,28;59,1;0;-0,46000000000000085;-6910;688;0;2166;0;0;0;0;0;300;77,85708498864811;32,15687984000732;180,52630287036274
1663158498000;53,561022;9,9793336;10,8;10,8;59,1;0;-0,47999999999999865;-6916;604;0;2073;0;0;0;0;0;300;76,78327608424114;31,2266448648902;170,8140441248408
