Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663159701000;53,5599268;9,9807758;1,47;;59,1;0;;;;;;;;;;;;;;
1663159702000;53,559962;9,9807551;2,34;2,34;59,3;0;0,8699999999999999;2162;6;2560,4099999999453;449;0;5177,409999999945;0;0,000579907034050173;0,0015448723387096609;300;6,000642557901157;0;8,877412296239372
1663159703000;53,5599927;9,980724;4,49;4,49;59,3;0;2,1500000000000004;9581;43;0;862;0;10486;0;0,0011745071684587812;0,003128887096774193;300;16,579794236748924;0;42,498574367260225
1663159704000;53,5600331;9,9806696;5,25;5,25;59,3;0;0,7599999999999998;4830;69;0;1008;0;5907;0;0,0006616263440860214;0,001762572580645161;300;22,501520362742028;0;58,700135629573246
1663159705000;53,5600982;9,9805975;8,91;8,91;59,3;0;3,66;33816;339;0;1710;0;35865;0;0,004017137096774193;0,010701653225806452;300;49,8805283439976;0;157,2473704565742
1663159706000;53,5601791;9,9804883;10,4;10,4;59,3;0;1,4900000000000002;18773;539;0;1997;0;21309;0;0,002386760752688172;0,006358330645161291;300;58,222944284298315;0;193,55682556304782
1663159707000;53,560287;9,9803257;11,97;11,97;59,3;0;1,5700000000000003;22916;822;0;2298;0;26036;0;0,0029162186379928312;0,007768806451612903;300;65,00421747456227;0;229,44475814664847
1663159708000;53,5603658;9,9802074;12,68;12,68;59,3;0;0,7099999999999991;11419;977;0;2434;0;14830;0;0,0016610663082437275;0,00442508064516129;300;68,5985690093005;0;233,85346807439868
1663159709000;53,5604463;9,980075;12,09;12,09;59,3;0;-0,5899999999999999;-9536;847;0;2321;0;0;0;0;0;300;68,46004899454076;0;212,28882851659264
1663159710000;53,5605312;9,9799372;12,41;12,41;59,3;0;0,3200000000000003;5115;916;0;2383;0;8414;0;0,0009424283154121863;0,0025106290322580646;300;68,48070513486527;0;207,83411489802762
1663159711000;53,5606148;9,9797932;12,11;12,11;59,3;0;-0,3000000000000007;-4800;851;0;2325;0;0;0;0;0;300;67,91080712578447;0;191,88631821213372
1663159712000;53,5606895;9,9796494;11,69;11,69;59,3;0;-0,41999999999999993;-6523;766;0;2244;0;0;0;0;0;300;67,02760391996517;0;178,91674021027265
1663159713000;53,5607708;9,9795162;11,29;11,29;59,3;0;-0,40000000000000036;-5998;690;0;2168;0;0;0;0;0;300;66,05394796330167;0;168,17512755597008
1663159714000;53,5608392;9,9793861;10,66;10,66;59,3;0;-0,629999999999999;-9024;580;0;2047;0;0;0;0;0;300;64,99314860771183;0;159,44204193005663
1663159715000;53,5608929;9,9792528;10,07;10,07;59,3;0;-0,5899999999999999;-7981;489;0;1933;0;0;0;0;0;300;63,96144246962333;0;152,2337106912541
1663159716000;53,5609477;9,9791336;9,83;9,83;59,3;0;-0,2400000000000002;-3117;455;0;1887;0;0;0;0;0;286,75147902969525;63,03942564602043;0;145,8942816670151
1663159717000;53,5610032;9,9790193;9,28;9,28;59,3;0;-0,5500000000000007;-6859;383;0;1782;0;0;0;0;0;269,9098005122667;62,1918345267061;0;140,57295856499778
1663159718000;53,5610553;9,9789135;8,81;8,81;59,3;0;-0,46999999999999886;-5548;327;0;1691;0;0;0;0;0;255,91229464801683;61,43514781154461;0;136,01995446451895
1663159719000;53,56111;9,9788137;8,46;8,46;59,3;0;-0,34999999999999964;-3945;290;0;1624;0;0;0;0;0;243,95013242326337;60,76334561092012;0;132,02353698132882
1663159720000;53,5611641;9,9787134;7,97;7,97;59,3;0;-0,4900000000000011;-5254;242;0;1530;0;0;0;0;0;233,89392336676957;60,19012619652682;0;128,60964985806487
1663159721000;53,5612155;9,9786245;7,45;7,45;59,3;0;-0,5199999999999996;-5233;198;0;1430;0;0;0;0;0;225,45115224553788;59,72731704508164;0;125,71730264574796
1663159722000;53,5612611;9,9785342;7,88;7,88;59,3;0;0,4299999999999997;4301;234;0;1513;0;6048;0;0,0006774193548387096;0,0018046451612903224;225,53787855420012;59,21200860369361;0;128,55992033059408
1663159723000;53,5613035;9,9784363;8,46;8,46;59,3;0;0,580000000000001;6183;290;0;1624;0;8097;0;0,0009069220430107526;0,0024160403225806453;228,3699553690439;58,682004168626264;0;132,79855898035927
1663159724000;53,5613537;9,9783276;8,57;8,57;59,3;0;0,10999999999999943;1222;301;0;1645;0;3168;0;0,0003548387096774193;0,0009452903225806451;221,68211428142942;58,185929843760064;0;132,1714483950916
1663159725000;53,5614027;9,978224;8,34;8,34;59,3;0;-0,23000000000000043;-2538;278;0;1601;0;0;0;0;0;213,6239536801508;57,7267465843792;0;128,8626718717042
1663159726000;53,5614483;9,9781244;8,25;8,25;59,3;0;-0,08999999999999986;-975;269;0;1584;0;878;0;0,00009834229390681002;0,0002619838709677419;206,2362017070309;57,29740691404322;0;126,53852874351159
