Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663231842000;53,5552419;9,9736229;3,58;;63,8;0;;;;;;;;;;;;;;
1663231843000;53,5552357;9,9736264;1,32;1,32;63,8;0;-2,26;-7226;1;0;253;0;0;0;0;0;0;1,9094746864064167;0;0
1663231844000;53,5552194;9,9736227;0,44;0,44;63,8;0;-0,8800000000000001;-1011;0;0;84;0;0;0;0;0;0;1,485146978316102;0;0
1663231845000;53,5552055;9,9736178;1,05;1,05;63,8;0;0,6100000000000001;593;0;0;201;0;794;0;0,00008893369175627239;0,00023691935483870967;96,62546234619292;1,3816674920269638;0;2,6507369889985046
1663231846000;53,5551931;9,9736199;0,5;0,5;60,8;4;-0,55;-557;0;0;96;0;0;0;0;0;82,02947105522723;1,214341876760545;0;2,6238180288810513
1663231847000;53,5551758;9,9736329;2,19;2,19;60,8;0;1,69;2966;5;0;420;0;3391;0;0,0003798163082437276;0,0010118306451612903;296,28786662133757;2,82365143345556;0;13,494534212517873
1663231848000;53,5551512;9,9736587;2,77;2,77;60,8;0;0,5800000000000001;1877;10;0;531;0;2418;0;0,0002708333333333333;0,0007215;300;4,694317548018475;0;20,68941700769829
1663231849000;53,5551306;9,9736823;2,13;2,13;60,8;0;-0,6400000000000001;-2047;4;0;409;0;0;0;0;0;239,32457623803387;4,751175286425351;0;20,22347282853117
1663231850000;53,5551131;9,9737003;1,56;1,56;60,8;0;-0,5699999999999998;-1373;1;0;299;0;0;0;0;0;208,10832716350768;4,4793201074945745;0;19,86731662871904
1663231851000;53,5550992;9,9737136;1,4;1,4;60,8;0;-0,16000000000000014;-310;1;0;268;0;0;0;0;0;186,30056832900837;4,235013792528141;0;19,547763065640886
1663231852000;53,5550766;9,973727;3,27;3,27;60,8;0;1,87;5698;16;0;627;0;6341;0;0,0007102374551971325;0,0018920725806451611;300;5,706455498161715;0;37,18246076986148
1663231853000;53,5550422;9,9737351;4,62;4,62;60,8;0;1,35;6950;47;0;887;0;7884;0;0,0008830645161290322;0,0023524838709677418;300;9,551297638192963;0;57,53523845161783
1663231854000;53,5549872;9,9737191;5,89;5,89;60,8;0;1,2699999999999996;8709;98;0;1131;0;9938;0;0,0011131272401433692;0,002965370967741936;300;15,72936230346487;0;81,1323941700527
1663231855000;53,5549351;9,9736754;6,58;6,58;60,8;0;0,6900000000000004;5614;136;0;1263;0;7013;0;0,0007855062724014336;0,002092588709677419;300;21,918821910046766;0;94,86956046037169
1663231856000;53,5548622;9,973612;7,07;7,07;60,8;0;0,4900000000000002;4364;169;0;1357;0;5890;0;0,0006597222222222221;0,0017575;300;27,614169515573227;0;104,34059846843236
1663231857000;53,5548075;9,9735617;8,77;8,77;60,8;0;1,6999999999999993;17570;323;0;1684;0;19577;0;0,0021927643369175627;0,005841524193548387;300;37,64299537400669;0;142,67838171141975
1663231858000;53,5547314;9,9734921;10,86;10,86;60,8;0;2,09;26769;614;0;2085;0;29468;0;0,0033006272401433687;0,008792870967741935;300;54,108344068890005;0;195,79751600468117
1663231859000;53,5546433;9,9734065;11,76;11,76;60,8;0;0,9000000000000004;13283;780;0;2258;0;16321;0;0,0018280689964157704;0,004869975806451612;300;69,98553202296253;0;215,44037394510607
1663231860000;53,5545491;9,973319;12,15;12,15;60,8;0;0,39000000000000057;6084;860;0;2333;0;9277;0;0,0010390905017921145;0,002768137096774193;300;83,2106545040341;0;219,20751510857252
1663231861000;53,5544493;9,9732302;12,67;12,67;60,8;0;0,5199999999999996;8421;975;0;2433;0;11829;0;0,0013249327956989245;0,003529620967741935;300;95,32043002845518;0;226,44278284565874
1663231862000;53,5543487;9,9731389;12,4;12,4;60,8;0;-0,2699999999999996;-4417;914;0;2381;0;0;0;0;0;300;98,40589600956851;0;211,52398922742714
1663231863000;53,5542169;9,9730224;12,29;12,29;60,8;0;-0,11000000000000121;-1773;890;0;2360;0;1477;0;0,00016543458781362005;0,00044071774193548384;300;97,13499403412482;0;199,50822227996332
1663231864000;53,5541377;9,9729476;12,97;12,97;60,8;0;0,6800000000000015;11207;1046;0;2490;0;14743;0;0,0016513216845878134;0,0043991209677419355;300;96,76348899022709;0;206,83825725156942
1663231865000;53,5540369;9,9728622;13,33;13,33;60,8;0;0,35999999999999943;6177;1136;0;2559;0;9872;0;0,0011057347670250894;0,0029456774193548385;300;96,52933595640198;0;206,20672953455238
1663231866000;53,5539311;9,9727768;13,14;13,14;60,8;0;-0,1899999999999995;-3282;1088;0;2523;0;329;0;0,00003685035842293907;0,00009816935483870969;300;95,66044137723195;0;193,91156586772996
1663231867000;53,5538253;9,9726826;13,49;13,49;60,8;0;0,34999999999999964;6081;1177;0;2590;0;9848;0;0,0011030465949820787;0,002938516129032258;300;95,0778769387154;0;193,68038139296755
1663231868000;53,5537136;9,972576;14,37;14,37;60,8;0;0,879999999999999;15997;1423;0;2759;0;20179;0;0,0022601926523297487;0,00602115322580645;300;95,38804875676779;0;203,79237616970696
1663231869000;53,5536026;9,9724563;14,51;14,51;60,8;0;0,14000000000000057;2638;1465;0;2786;0;6889;0;0,0007716173835125447;0,002055588709677419;300;95,51062345579298;0;198,80800882984872
1663231870000;53,5534929;9,9723431;13,97;13,97;60,8;0;-0,5399999999999991;-10035;1307;0;2682;0;0;0;0;0;287,88946589979355;94,85458879379455;0;188,08238887292546
