Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663235941000;53,555968;9,9726789;2,34;;60,9;0;;;;;;;;;;;;;;
1663235942000;53,5559602;9,9727242;3,88;3,88;60,9;0;1,54;6250;28;0;745;0;7023;0;0,0007866263440860214;0,0020955725806451613;300;16,497931427362694;0;23,502198159601974
1663235943000;53,555934;9,9727711;4,77;4,77;60,9;0;0,8899999999999997;5023;52;0;915;0;5990;0;0,0006709229390681003;0,0017873387096774193;300;21,150303377661803;0;41,56230250436722
1663235944000;53,5558879;9,9728151;5,64;5,64;61,2;0;0,8700000000000001;5909;86;3840,6150000000544;1083;0;10918,615000000054;0;0,0012229631496415829;0,0032579738306451767;300;26,56116909717975;0;60,94658095931752
1663235945000;53,5558444;9,9728515;6,6;6,6;61,2;0;0,96;7667;137;0;1267;0;9071;0;0,0010160170250896057;0,0027066693548387097;300;33,25143272646037;0;83,6276423916017
1663235946000;53,5557917;9,9729002;7,6;7,6;61,2;0;1;9265;210;0;1459;0;10934;0;0,0012246863799283154;0,0032625645161290322;300;37,2510025424023;0;106,36919830909915
1663235947000;53,5557344;9,9729541;7,96;7,96;61,2;0;0,3600000000000003;3655;241;0;1528;0;5424;0;0,0006075268817204301;0,001618451612903226;300;39,56429804063533;0;112,04971319901993
1663235948000;53,5556776;9,9730042;7,25;7,25;61,2;0;-0,71;-7047;182;0;1392;0;0;0;0;0;300;39,63813157528224;0;105,6152005720638
1663235949000;53,555624;9,9730517;6,67;6,67;61,2;0;-0,5800000000000001;-5269;142;0;1280;0;0;0;0;0;300;39,19390183227701;0;100,62001282976223
1663235950000;53,555575;9,9730931;6,14;6,14;61,2;0;-0,5300000000000002;-4431;111;0;1179;0;0;0;0;0;293,4972185024828;38,65046042589518;0;96,63491825450923
1663235951000;53,5555313;9,9731294;5,6;5,6;61,2;0;-0,54;-4137;84;0;1075;0;0;0;0;0;267,7569430593107;38,148865312496966;0;93,45326558955864
1663235952000;53,5554926;9,9731663;5,12;5,12;61,2;0;-0,47999999999999954;-3358;64;0;983;0;0;0;0;0;248,3467733619924;37,75228614733954;0;90,86035510723099
1663235953000;53,5554539;9,9732031;5,03;5,03;61,2;0;-0,08999999999999986;-597;61;0;965;0;429;0;0,0000480510752688172;0,00012800806451612902;231,8955536667447;37,39479781541339;0;89,27846331151609
1663235954000;53,5554126;9,9732434;6,05;6,05;61,2;0;1,0199999999999996;7374;106;0;1161;0;8641;0;0,0009678539426523296;0,0025783629032258065;255,73483398787465;37,103006359339844;0;102,38787691493052
1663235955000;53,5553628;9,9732935;6,94;6,94;61,2;0;0,8900000000000006;7543;160;0;1332;0;9035;0;0,0010119847670250896;0,002695927419354839;273,45181216000117;37,21089227987526;0;114,5014870899532
1663235956000;53,5553152;9,9733533;6,3;6,3;61,2;0;-0,6400000000000006;-5530;119;0;1209;0;0;0;0;0;254,49115261931686;37,03630162692873;0;110,60508830044822
1663235957000;53,5552715;9,9734027;5,9;5,9;61,2;0;-0,39999999999999947;-3185;98;0;1132;0;0;0;0;0;239,2048971087048;36,80350928255744;0;107,29297346096376
1663235958000;53,5552309;9,9734511;5,46;5,46;61,2;0;-0,4400000000000004;-3262;78;0;1048;0;0;0;0;0;226,850479433705;36,56404894061848;0;104,49891355932412
1663235959000;53,5551947;9,9734943;5,1;5,1;61,2;0;-0,3600000000000003;-2481;63;0;979;0;0;0;0;0;216,5990716842894;36,35372590941647;0;102,0988102586978
1663235960000;53,5551632;9,973535;4,52;4,52;61,2;0;-0,5800000000000001;-3641;44;0;867;0;0;0;0;0;208,55180191486986;36,23067939697329;0;100,185828372093
1663235961000;53,5551318;9,9735751;4,45;4,45;61,2;0;-0,0699999999999994;-410;42;0;854;0;486;0;0,00005443548387096774;0,00014501612903225806;201,2154308929878;36,11369721066187;0;99,11904454291289
