Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663241897000;53,5557953;9,9729136;2,39;;60,8;0;;;;;;;;;;;;;;
1663241898000;53,5557817;9,9729458;3,19;3,19;60,8;0;0,7999999999999998;2912;15;0;612;0;3539;0;0,00039639336917562717;0,0010559919354838708;300;11,151862578248586;0;11,915298865313439
1663241899000;53,5557526;9,9729806;4,68;4,68;60,8;0;1,4899999999999998;7651;49;0;898;0;8598;0;0,0009630376344086021;0,002565532258064516;300;18,793706519507325;0;39,01992385672153
1663241900000;53,5557119;9,9730171;5,55;5,55;60,8;0;0,8700000000000001;5807;81;0;1065;0;6953;0;0,0007787858422939068;0,0020746854838709678;300;24,9815734024107;0;58,313341684201404
1663241901000;53,5556588;9,9730646;5,7;5,7;60,8;0;0,15000000000000036;1101;88;0;1094;0;2283;0;0,0002557123655913978;0,0006812177419354839;300;28,148715555157544;0;62,11773145190163
1663241902000;53,5556229;9,973098;4,93;4,93;60,8;0;-0,7700000000000005;-5341;57;0;946;0;0;0;0;0;300;27,838509873294036;0;59,573722488648386
1663241903000;53,5555871;9,9731319;4,52;4,52;60,8;0;-0,41000000000000014;-2529;44;0;867;0;0;0;0;0;279,99358194177483;26,976421316119936;0;57,39587549702879
1663241904000;53,555552;9,9731637;4,47;4,47;60,8;0;-0,04999999999999982;-294;42;0;858;0;606;0;0,0000678763440860215;0,0001808225806451613;242,11309431224294;26,28919950425881;0;56,962286532857476
1663241905000;53,5555161;9,9731956;4,44;4,44;60,8;0;-0,02999999999999936;-175;41;0;852;0;718;0;0,00008042114695340502;0,00021424193548387097;213,43160715252156;25,734162991826242;0;56,846970745146116
1663241906000;53,5554705;9,9732376;4,98;4,98;60,8;0;0,54;3319;59;0;956;0;4334;0;0,00048543906810035836;0,0012932096774193548;224,1876299142997;25,9035591959599;0;65,27839324035273
1663241907000;53,5554325;9,9732721;5,33;5,33;60,8;0;0,34999999999999964;2354;72;0;1023;0;3449;0;0,00038631272401433686;0,0010291370967741935;221,74055921127663;26,48679259998682;0;70,913220331189
1663241908000;53,5553926;9,9733087;4,96;4,96;60,8;0;-0,3700000000000001;-2485;58;0;952;0;0;0;0;0;200,89064122667125;26,531343051656037;0;68,55843635036345
