Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663231843000;53,5550049;9,9735666;2,11;;72,7;0;;;;;;;;;;;;;;
1663231844000;53,5549841;9,9735799;3,54;3,54;72,7;0;1,4300000000000002;8055;28;0;1038;0;9121;0;0,0010216173835125447;0,0027215887096774193;300;13,733225998720533;0;20,012452673317163
1663231845000;53,554953;9,9735775;3,83;3,83;72,7;0;0,29000000000000004;2130;35;0;1123;0;3288;0;0,0003682795698924731;0,0009810967741935483;300;14,950428440290553;0;26,163182695991427
1663231846000;53,5549025;9,9735522;5,1;5,1;60,8;4;1,2699999999999996;11307;84;0;1496;0;12887;0;0,0014434363799283154;0,003845314516129032;300;20,49360494743617;0;50,814703179380935
1663231847000;53,5548642;9,9735226;6,78;6,78;60,8;0;1,6800000000000006;19898;198;0;1989;0;22085;0;0,0024736783154121864;0,006589879032258065;300;31,01848884658771;0;89,75460861979171
1663231848000;53,5548083;9,9734778;7,68;7,68;60,8;0;0,8999999999999995;12974;288;0;2253;0;15515;0;0,0017377912186379927;0,004629475806451613;300;39,31948224810924;0;111,44611629539895
1663231849000;53,5547466;9,9734271;7,86;7,86;60,8;0;0,1800000000000006;2788;308;0;2306;0;5402;0;0,0006050627240143368;0,0016118870967741935;300;41,281311200070554;0;112,26341179356287
1663231850000;53,5546825;9,9733717;8,52;8,52;60,8;0;0,6599999999999993;10778;393;0;2499;0;13670;0;0,001531137992831541;0,0040789516129032255;300;43,398498127039694;0;124,92272665841575
1663231851000;53,5546116;9,973315;9,24;9,24;60,8;0;0,7200000000000006;12748;501;0;2711;0;15960;0;0,0017876344086021503;0,004762258064516129;300;45,76296764067642;0;138,2251542112888
1663231852000;53,5545335;9,9732517;9,89;9,89;60,8;0;0,6500000000000004;12397;615;0;2901;0;15913;0;0,0017823700716845877;0,004748233870967742;300;48,15660125642583;0;148,81290601757064
1663231853000;53,5544523;9,9731856;10,35;10,35;60,8;0;0,4599999999999991;9282;705;0;3036;0;13023;0;0,0014586693548387095;0,0038858951612903226;300;50,24619844580405;0;153,85658513026
1663231854000;53,554371;9,9731173;10,49;10,49;60,8;0;0,14000000000000057;2908;734;0;3077;0;6719;0;0,0007525761648745519;0,0020048629032258063;300;51,684257898727395;0;150,97719433456888
1663231855000;53,5542892;9,9730466;10,62;10,62;60,8;0;0,129999999999999;2736;762;0;3116;0;6614;0;0,0007408154121863798;0,001973532258064516;300;52,73930400749691;0;148,23829549991535
1663231856000;53,5542052;9,9729742;10,64;10,64;60,8;0;0,02000000000000135;423;766;0;3121;0;4310;0;0,0004827508960573476;0,001286048387096774;278,5713718950489;53,4483898737503;0;143,55037860721401
1663231857000;53,5541027;9,9728855;10,8;10,8;60,8;0;0,16000000000000014;3420;801;0;3168;0;7389;0;0,0008276209677419354;0,002204782258064516;258,5593156550653;54,0698132439554;0;142,13665398434205
1663231858000;53,5540275;9,9728237;10,97;10,97;60,8;0;0,16999999999999993;3689;840;0;3218;0;7747;0;0,0008677195340501792;0,0023116048387096773;242,2660610253458;54,643556397962435;0;141,04548470030159
1663231859000;53,5539406;9,9727536;11,05;11,05;60,8;0;0,08000000000000007;1756;858;0;3242;0;5856;0;0,0006559139784946236;0,0017473548387096772;224,810539959898;55,11730970564125;0;138,42260561468075
1663231860000;53,5538535;9,9726791;11,08;11,08;60,8;0;0,02999999999999936;661;865;0;3251;0;4777;0;0,0005350582437275986;0,0014253951612903228;208,0923904148415;55,487335350854785;0;135,19216547604046
1663231861000;53,5537654;9,9725987;11,15;11,15;60,8;0;0,07000000000000028;1551;882;0;3271;0;5704;0;0,0006388888888888888;0,001702;195,15022930913372;55,80834764411554;0;132,92579122587242
