Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663241900000;53,5557725;9,9729143;1,43;;60,9;0;;;;;;;;;;;;;;
1663241901000;53,5557711;9,9729218;1,28;1,28;60,9;0;-0,1499999999999999;-406;1;0;375;0;0;0;0;0;0;1,7955023681176958;0;0
1663241902000;53,5557658;9,9729409;1,94;1,94;60,9;0;0,6599999999999999;2118;4;0;569;0;2691;0;0,0003014112903225806;0,0008029596774193548;197,16314497441897;3,198676948279987;0;5,875129599755874
1663241903000;53,5557524;9,9729661;3,08;3,08;60,9;0;1,1400000000000001;5705;18;0;903;0;6626;0;0,0007421594982078853;0,0019771129032258063;300;6,71738232158043;0;19,67152859425702
1663241904000;53,5557274;9,9729984;4,17;4,17;60,9;0;1,0899999999999999;7878;46;0;1223;0;9147;0;0,001024529569892473;0,0027293467741935484;300;11,631728868925762;0;37,41477380849381
1663241905000;53,5556925;9,973034;4,93;4,93;60,9;0;0,7599999999999998;6895;76;0;1446;0;8417;0;0,0009427643369175627;0,002511524193548387;300;16,434865084140394;0;52,06054447604118
1663241906000;53,5556533;9,9730747;5,52;5,52;60,9;0;0,5899999999999999;6147;107;0;1619;0;7873;0;0,0008818324372759856;0,002349201612903226;300;20,909250101494006;0;64,18247841281887
1663241907000;53,5556072;9,9731143;6,42;6,42;60,9;0;0,9000000000000004;10713;168;0;1883;0;12764;0;0,0014296594982078853;0,003808612903225807;300;26,605836494466516;0;83,33953433487423
1663241908000;53,555552;9,9731551;6,9;6,9;60,9;0;0,4800000000000004;6374;209;0;2024;0;8607;0;0,0009640456989247311;0,0025682177419354838;300;31,758543640932714;0;93,42647231859307
1663241909000;53,5554932;9,9731999;7,2;7,2;60,9;0;0,2999999999999998;4217;237;0;2112;0;6566;0;0,0007354390681003583;0,0019592096774193545;300;36,11125524860879;0;99,11996324690708
1663241910000;53,5554385;9,9732487;6,44;6,44;60,9;0;-0,7599999999999998;-10336;169;0;1889;0;0;0;0;0;300;37,367398481866054;0;94,80935083654278
1663241911000;53,5553924;9,9732972;5,94;5,94;60,9;0;-0,5;-6172;133;0;1742;0;0;0;0;0;278,64783111910054;37,51081757647979;0;91,11686895822626
1663241912000;53,55535;9,9733444;5,56;5,56;60,9;0;-0,3800000000000008;-4357;109;0;1631;0;0;0;0;0;252,55685872061284;37,170645922379634;0;87,8844116468511
1663241913000;53,5553145;9,9733851;5,03;5,03;60,9;0;-0,5299999999999994;-5596;80;0;1475;0;0;0;0;0;232,8338188298399;36,433154567548506;0;85,11196723828223
1663241914000;53,5552868;9,9734206;3,67;3,67;60,9;0;-1,3600000000000003;-11797;31;0;1076;0;0;0;0;0;220,282407033343;35,264837827031165;0;83,09198026703832
1663241915000;53,5552646;9,9734474;2,67;2,67;60,9;0;-1;-6321;12;0;783;0;0;0;0;0;211,96927591279135;34,22882634510474;0;81,57862396156285
1663241916000;53,5552425;9,9734684;2,71;2,71;60,9;0;0,040000000000000036;214;12;0;795;0;1021;0;0,00011435931899641577;0,0003046532258064516;205,0246856162968;33,2630054511243;0;81,40968436212604
