od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(61831117, 20830194)",53.5523139,9.9654131,53.5709287,10.0001261,3.9858370000000005,655.865425,0.5288920333333335,3.9858370000000005,655.865425,0.5288920333333335,True,3.9858370000000005,655.865425,0.5288920333333335,True
"(371195935, 5856138160)",53.5501284,10.0065696,53.5463713,9.9656417,3.1395280000000003,821.8387916666666,0.4793778000000001,3.2815260000000004,684.7378249999999,0.46904426666666676,False,3.2815260000000004,684.7378249999999,0.46904426666666676,False
"(16738089, 36685308)",53.5556654,9.9842519,53.5556194,9.9818143,0.161099,18.563574999999997,0.019743233333333332,0.161099,18.563574999999997,0.019743233333333332,True,0.161099,18.563574999999997,0.019743233333333332,True
"(2071928295, 16712063)",53.5507188,10.0047553,53.5612779,9.9550171,4.319282,826.6146749999999,0.5987782,4.319282,826.6146749999999,0.5987782,True,4.319282,826.6146749999999,0.5987782,True
"(32225835, 17705449)",53.5533651,9.9781603,53.566858,9.9551781,2.8932950000000006,592.3485416666665,0.4082378333333334,3.0974250000000003,563.7473916666665,0.42251750000000005,False,2.8932950000000006,592.3485416666665,0.4082378333333334,True
"(2588659060, 61826942)",53.5578573,9.9772841,53.5552567,9.954469,1.8132640000000002,361.7456833333333,0.24930140000000003,2.3692579999999994,336.64649166666663,0.30161746666666667,False,1.8132640000000002,361.7456833333333,0.24930140000000003,True
"(3223500068, 484926802)",53.5734486,9.958647,53.5495959,9.9697558,3.0583449999999996,641.8109916666667,0.4355595,3.318876,630.37995,0.4569376,False,3.0583449999999996,641.8109916666667,0.4355595,True
"(16957989, 77777630)",53.5457543,9.9538878,53.5447592,9.9974642,3.153261,441.7573583333333,0.40752610000000006,3.153261,441.7573583333333,0.40752610000000006,True,3.153261,441.7573583333333,0.40752610000000006,True
"(411263490, 3223500068)",53.5661558,9.9795522,53.5734486,9.958647,1.8414530000000005,316.0003333333333,0.24756196666666674,1.8414530000000005,316.0003333333333,0.24756196666666674,True,1.8414530000000005,316.0003333333333,0.24756196666666674,True
"(1503301986, 14398558)",53.5677083,9.9668568,53.5560552,9.9799736,2.8928639999999994,475.1112999999999,0.3814530666666666,2.8928639999999994,475.1112999999999,0.3814530666666666,True,2.8928639999999994,475.1112999999999,0.3814530666666666,True
