od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(52708013, 20823482)",53.5519165,9.9561718,53.5692152,9.9570041,2.631224,378.026125,0.35781651764705885,2.631224,378.026125,0.35781651764705885,True,2.631224,378.026125,0.35781651764705885,True
"(18653542, 203902488)",53.5509735,9.985199,53.5474526,10.0007803,1.3374920000000001,260.26065,0.20326684705882353,1.3374920000000001,260.26065,0.20326684705882353,True,1.3374920000000001,260.26065,0.20326684705882353,True
"(21112791, 36589966)",53.5640285,9.9878599,53.550821,9.9805119,1.9393140000000004,387.53821874999994,0.29311375294117653,2.247143,361.3306125,0.316749594117647,False,1.9393140000000004,387.53821874999994,0.29311375294117653,True
"(294110564, 26084079)",53.5638915,9.9851072,53.5586242,9.9937705,0.91624,128.527325,0.12668870588235295,0.91624,128.527325,0.12668870588235295,True,0.91624,128.527325,0.12668870588235295,True
"(18653542, 41756662)",53.5509735,9.985199,53.5698323,9.9825479,2.751471,567.0797437499999,0.41917651176470594,2.89758,495.6844562499999,0.41457564705882355,False,2.89758,495.6844562499999,0.41457564705882355,False
"(8223839444, 21074932)",53.5637412,9.989477,53.5627817,9.9897513,0.10821800000000001,0.0,0.010821800000000001,0.10821800000000001,0.0,0.010821800000000001,True,0.10821800000000001,0.0,0.010821800000000001,True
"(2588659072, 71103884)",53.5597716,9.9820683,53.5472634,9.9560325,2.804986,308.657025,0.36371624705882355,2.804986,308.657025,0.36371624705882355,True,2.804986,308.657025,0.36371624705882355,True
"(36589972, 5077434188)",53.5494866,9.9810255,53.5669151,9.9714808,2.809618,504.30736875,0.4088912117647059,2.9557270000000004,418.57394375,0.40163152352941184,False,2.9557270000000004,418.57394375,0.40163152352941184,False
"(18130090, 61831117)",53.5470821,9.9999455,53.5523139,9.9654131,2.633037,406.14862500000004,0.37470958235294116,2.633037,406.14862500000004,0.37470958235294116,True,2.633037,406.14862500000004,0.37470958235294116,True
"(21074932, 245963764)",53.5627817,9.9897513,53.5563547,9.954627,3.3841469999999996,570.65603125,0.4752147,3.3841469999999996,570.65603125,0.4752147,True,3.3841469999999996,570.65603125,0.4752147,True
"(1758886192, 1564056563)",53.5440815,9.9782911,53.5560549,10.0001271,2.3060360000000006,452.446,0.35023301176470595,2.3060360000000006,452.446,0.35023301176470595,True,2.3060360000000006,452.446,0.35023301176470595,True
"(18703872, 299329195)",53.5566658,10.0067724,53.5692913,9.9662224,3.2350589999999997,363.24550625,0.42510590000000004,3.2350589999999997,363.24550625,0.42510590000000004,True,3.2350589999999997,363.24550625,0.42510590000000004,True
"(122353, 20823402)",53.5501479,9.9710979,53.5712218,9.9660588,2.7102679999999997,426.31328125000005,0.3828091529411764,2.7102679999999997,426.31328125000005,0.3828091529411764,True,2.7102679999999997,426.31328125000005,0.3828091529411764,True
"(21074932, 105290620)",53.5627817,9.9897513,53.5485593,9.9868088,1.7517399999999999,432.7259,0.2864210588235294,1.7517399999999999,432.7259,0.2864210588235294,True,1.7517399999999999,432.7259,0.2864210588235294,True
"(16956679, 36571755)",53.5692009,9.9740677,53.5460809,9.9760182,3.472572,504.19814999999994,0.4785748470588236,3.472572,504.19814999999994,0.4785748470588236,True,3.472572,504.19814999999994,0.4785748470588236,True
"(203892170, 4583729803)",53.5483423,10.003379,53.5402929,10.0072332,1.3570349999999998,361.29420625,0.2288682058823529,1.3570349999999998,361.29420625,0.2288682058823529,True,1.3570349999999998,361.29420625,0.2288682058823529,True
"(483421346, 19879859)",53.5495437,9.9600905,53.5654313,9.9622815,2.5663700000000005,439.84621875,0.3576722941176471,2.7599210000000003,404.86446875,0.3672979823529412,False,2.5663700000000005,439.84621875,0.3576722941176471,True
"(2286400550, 21654999)",53.5574772,9.9856125,53.548029,10.0082544,2.5086989999999996,461.14318125,0.37222284117647053,2.5086989999999996,461.14318125,0.37222284117647053,True,2.5086989999999996,461.14318125,0.37222284117647053,True
"(87989423, 9344607675)",53.5476801,9.9628071,53.5501369,10.0062466,3.310777,526.861725,0.47252475882352946,3.5410780000000006,485.39454375,0.4886195647058824,False,3.310777,526.861725,0.47252475882352946,True
"(16957967, 20830209)",53.5630545,9.9570052,53.5717604,9.9885877,2.6061569999999996,422.51025625,0.38016864117647053,2.8143179999999997,363.68798749999996,0.373467094117647,False,2.8143179999999997,363.68798749999996,0.373467094117647,False
"(256276843, 218156766)",53.5726123,9.9572471,53.5576016,9.9641687,2.088896,460.18118749999996,0.33112489411764706,2.359649,452.29414999999995,0.35543548823529414,False,2.088896,460.18118749999996,0.33112489411764706,True
"(249708187, 87989423)",53.5411564,9.9998072,53.5476801,9.9628071,2.864964,479.71510624999996,0.41964345882352944,2.864964,479.71510624999996,0.41964345882352944,True,2.864964,479.71510624999996,0.41964345882352944,True
"(266395072, 256506065)",53.559083,9.964032,53.5736114,9.9622697,2.4298640000000002,503.01356875,0.3788452235294118,2.4922359999999997,431.8023875,0.36178242352941176,False,2.4922359999999997,431.8023875,0.36178242352941176,False
"(2556672584, 484926802)",53.5630678,9.9655186,53.5495959,9.9697558,1.6721100000000002,303.2771375,0.2462639411764706,2.130464,249.7234625,0.2705758117647059,False,1.6721100000000002,303.2771375,0.2462639411764706,True
"(266395072, 20243510)",53.559083,9.964032,53.5649816,9.9808366,2.332277,558.3804875,0.3739747588235294,2.9850330000000005,481.678125,0.41361506470588244,False,2.332277,558.3804875,0.3739747588235294,True
"(16334326, 26729284)",53.569708,9.9843351,53.5473284,10.0021389,3.4830489999999994,629.29211875,0.5151519588235294,3.4830489999999994,629.29211875,0.5151519588235294,True,3.4830489999999994,629.29211875,0.5151519588235294,True
"(87980606, 21033589)",53.5479872,9.9627436,53.5588778,10.0083576,3.8470359999999997,597.3713625,0.5464153647058823,3.8470359999999997,597.3713625,0.5464153647058823,True,3.8470359999999997,597.3713625,0.5464153647058823,True
"(16738072, 15915225)",53.5605564,9.99089,53.5726643,9.9886581,1.371341,151.63960624999999,0.17743998235294117,1.8329769999999999,142.82905625,0.2221506411764706,False,1.371341,151.63960624999999,0.17743998235294117,True
"(35131333, 76463179)",53.5451086,10.0009698,53.541951,10.003103,0.38685900000000006,83.18986874999999,0.0630859,0.38685900000000006,83.18986874999999,0.0630859,True,0.38685900000000006,83.18986874999999,0.0630859,True
"(319060332, 199165886)",53.5555674,10.0087126,53.5436023,9.9833392,2.864145,486.54271874999995,0.4175145,2.864145,486.54271874999995,0.4175145,True,2.864145,486.54271874999995,0.4175145,True
"(76463179, 26729284)",53.541951,10.003103,53.5473284,10.0021389,1.228059,231.732075,0.18404707647058824,1.228059,231.732075,0.18404707647058824,True,1.228059,231.732075,0.18404707647058824,True
"(206870173, 567014228)",53.5733535,9.9538951,53.5678535,9.9819379,2.46982,345.88278125,0.34019964705882355,2.46982,345.88278125,0.34019964705882355,True,2.46982,345.88278125,0.34019964705882355,True
"(294110564, 184048078)",53.5638915,9.9851072,53.5657744,9.9952135,1.2964950000000004,171.50533125,0.17382008823529416,1.2964950000000004,171.50533125,0.17382008823529416,True,1.2964950000000004,171.50533125,0.17382008823529416,True
"(52181989, 184048078)",53.5494206,9.9749883,53.5657744,9.9952135,2.9637520000000004,436.88480000000004,0.41745755294117654,2.9637520000000004,436.88480000000004,0.41745755294117654,True,2.9637520000000004,436.88480000000004,0.41745755294117654,True
"(15915225, 60270008)",53.5726643,9.9886581,53.5473814,9.9887929,3.0357439999999998,561.14193125,0.45171557647058824,4.209351,524.4294625,0.5630821588235294,False,3.0357439999999998,561.14193125,0.45171557647058824,True
"(5249032629, 4208948988)",53.5590317,9.9641957,53.5569979,9.9642881,0.370723,128.48884375,0.07170759411764706,0.370723,128.48884375,0.07170759411764706,True,0.370723,128.48884375,0.07170759411764706,True
"(244256346, 21450153)",53.5467147,9.9588199,53.5679504,9.988389,4.631127,797.2287999999999,0.6691597588235294,4.631127,797.2287999999999,0.6691597588235294,True,4.631127,797.2287999999999,0.6691597588235294,True
"(164018116, 8223839444)",53.5720777,9.9590537,53.5637412,9.989477,3.161883,454.8782625,0.43511771176470593,3.1870659999999993,380.1272,0.4204360117647058,False,3.1870659999999993,380.1272,0.4204360117647058,False
"(1506299250, 1983285273)",53.5489649,9.9529689,53.5497944,9.9861173,2.605238,403.12818749999997,0.36932380000000004,2.605238,403.12818749999997,0.36932380000000004,True,2.605238,403.12818749999997,0.36932380000000004,True
"(29547198, 2563159912)",53.5708267,9.9565814,53.540721,10.0069578,5.676662,782.76965625,0.7835250235294118,5.676662,782.76965625,0.7835250235294118,True,5.676662,782.76965625,0.7835250235294118,True
