od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(36571751, 52148004)",53.5465981,9.9761639,53.5469904,9.962954,0.9636619999999999,49.2812,0.16926619999999998,0.9636619999999999,49.2812,0.16926619999999998,True,0.9636619999999999,49.2812,0.16926619999999998,True
"(17704910, 21033587)",53.5565105,9.9525048,53.5578435,10.0102172,4.908724,290.26919999999996,0.7965724000000001,4.908724,290.26919999999996,0.7965724000000001,True,4.908724,290.26919999999996,0.7965724000000001,True
"(60270008, 21450341)",53.5473814,9.9887929,53.5576897,9.9725389,1.9488549999999998,172.9792,0.37808549999999996,1.9488549999999998,172.9792,0.37808549999999996,True,1.9488549999999998,172.9792,0.37808549999999996,True
"(82661975, 52707275)",53.546389,9.9561618,53.5545975,9.9584162,1.480823,132.6856,0.2649823,1.480823,132.6856,0.2649823,True,1.480823,132.6856,0.2649823,True
"(20938593, 21178482)",53.5561498,10.0057585,53.5661867,9.9865797,1.9371639999999997,88.5894,0.3043164,1.977163,83.6237,0.3094163,False,1.9371639999999997,88.5894,0.3043164,True
"(243888548, 8545043237)",53.548413,9.9813283,53.5453524,9.9725684,1.1548739999999997,153.36769999999999,0.2175874,1.1548739999999997,153.36769999999999,0.2175874,True,1.1548739999999997,153.36769999999999,0.2175874,True
"(87996299, 243888548)",53.5489729,9.9598774,53.548413,9.9813283,2.0367539999999997,167.8634,0.2968754,2.16129,166.47199999999998,0.403529,False,2.0367539999999997,167.8634,0.2968754,True
"(28929024, 249741660)",53.5695385,9.9543594,53.5481475,10.0062143,5.16569,425.2301,0.939569,5.449903,308.32550000000003,0.9325903,False,5.449903,308.32550000000003,0.9325903,False
"(20245547, 122590918)",53.5617806,9.9621055,53.56196,9.9587941,0.5724720000000001,65.8306,0.11324720000000002,0.5724720000000001,65.8306,0.11324720000000002,True,0.5724720000000001,65.8306,0.11324720000000002,True
"(266197525, 28929024)",53.5587829,9.9940419,53.5695385,9.9543594,3.134767,129.9929,0.5107767000000001,3.134767,129.9929,0.5107767000000001,True,3.134767,129.9929,0.5107767000000001,True
