u,v,key
36685307,36685306,0
36685306,1561371007,0
1561371007,259235616,0
259235616,16738089,0
16738089,18653570,0
18653570,18653534,0
18653534,32206485,0
32206485,32206479,0
32206479,21764286,0
21764286,266199070,0
266199070,266199067,0
266199067,266197514,0
266197514,32208145,0
32208145,266199063,0
266199063,266197536,0
266197536,266197525,0
266197525,1562406613,0
1562406613,16738072,0
16738072,1687916277,0
1687916277,238019098,0
238019098,16712095,0
16712095,294110564,0
294110564,305103772,0
305103772,3105692100,0
3105692100,426778897,0
426778897,5077329212,0
5077329212,8493726625,0
8493726625,5077329228,0
5077329228,299207651,0
299207651,5077328711,0
5077328711,299207657,0
299207657,16334337,0
16334337,53120722,0
53120722,312860993,0
312860993,2588659091,0
2588659091,2588659084,0
2588659084,2588659078,0
2588659078,1524336663,0
1524336663,1524336655,0
1524336655,267262860,0
267262860,21450235,0
21450235,312938329,0
312938329,2588659056,0
2588659056,312938383,0
312938383,677709179,0
677709179,7250179900,0
7250179900,21423297,0
21423297,677709137,0
677709137,218172662,0
