osmid,street_count,geometry
16334344,4,POINT (9.9698143 53.5507277)
52183950,4,POINT (9.9694213 53.5501134)
25911709,4,POINT (9.9693971 53.5460394)
199166130,4,POINT (9.9826283 53.5442493)
242891817,4,POINT (9.9845651 53.5452912)
218388613,4,POINT (9.9846472 53.5454306)
243175300,4,POINT (9.9865744 53.5476072)
540212360,4,POINT (9.9866177 53.5476528)
230542924,4,POINT (9.9875092 53.5486659)
16738093,4,POINT (9.9873442 53.5488625)
1983285273,4,POINT (9.9861173 53.5497944)
8827815037,4,POINT (9.9857475 53.5519024)
16738089,4,POINT (9.9842519 53.5556654)
18653534,4,POINT (9.9841628 53.5570888)
32206485,4,POINT (9.9837969 53.5576228)
32206479,4,POINT (9.98889 53.5581459)
21764286,4,POINT (9.9891779 53.5581042)
266199067,4,POINT (9.9930987 53.5576058)
266197514,4,POINT (9.993506 53.5576628)
32208145,4,POINT (9.9936226 53.5577026)
266197536,4,POINT (9.9942053 53.5585442)
1687916277,4,POINT (9.9908313 53.5606997)
16712095,4,POINT (9.9898517 53.5614932)
305103772,4,POINT (9.9844864 53.5640153)
5077328711,4,POINT (9.9774414 53.5643294)
299207657,4,POINT (9.9772813 53.5643574)
16334337,4,POINT (9.9771988 53.5642452)
2588659056,4,POINT (9.9767348 53.5576027)
21423297,4,POINT (9.9752474 53.5563832)
